Timestamp;WC0;WC1;WC2
1370036672000;0.0;1.0;2.0
1370036673000;0.0;0.0;1.0
1370036674000;1.0;1.0;0.0
1370036675000;0.0;0.0;0.0
1370036676000;0.0;0.0;2.0
1370036677000;0.0;1.0;1.0
1370036678000;3.0;0.0;2.0
1370036679000;0.0;0.0;0.0
1370036680000;1.0;0.0;3.0
1370036681000;0.0;2.0;0.0
1370036682000;0.0;0.0;1.0
1370036683000;3.0;0.0;1.0
1370036684000;1.0;0.0;1.0
1370036685000;1.0;1.0;1.0
1370036686000;2.0;3.0;2.0
1370036687000;1.0;0.0;0.0
1370036688000;3.0;1.0;2.0
1370036689000;0.0;0.0;1.0
1370036690000;1.0;0.0;1.0
1370036691000;1.0;0.0;0.0
1370036692000;2.0;2.0;1.0
1370036693000;2.0;3.0;1.0
1370036694000;0.0;1.0;1.0
1370036695000;1.0;2.0;3.0
1370036696000;1.0;0.0;0.0
1370036697000;1.0;0.0;0.0
1370036698000;0.0;0.0;1.0
1370036699000;1.0;0.0;1.0
1370036700000;0.0;1.0;1.0
1370036701000;1.0;0.0;0.0
1370036702000;0.0;0.0;2.0
1370036703000;0.0;0.0;0.0
1370036704000;0.0;0.0;1.0
1370036705000;1.0;1.0;1.0
1370036706000;1.0;1.0;1.0
1370036707000;0.0;0.0;0.0
1370036708000;2.0;2.0;0.0
1370036709000;1.0;1.0;0.0
1370036710000;0.0;1.0;1.0
1370036711000;1.0;2.0;1.0
1370036712000;0.0;0.0;2.0
1370036713000;3.0;2.0;1.0
1370036714000;3.0;0.0;1.0
1370036715000;0.0;1.0;2.0
1370036716000;1.0;0.0;0.0
1370036717000;2.0;0.0;0.0
1370036718000;2.0;2.0;0.0
1370036719000;1.0;3.0;2.0
1370036720000;1.0;1.0;1.0
1370036721000;0.0;1.0;0.0
1370036722000;0.0;0.0;0.0
1370036723000;1.0;3.0;1.0
1370036724000;0.0;0.0;1.0
1370036725000;2.0;1.0;0.0
1370036726000;0.0;1.0;0.0
1370036727000;0.0;0.0;0.0
1370036728000;0.0;0.0;0.0
1370036729000;1.0;2.0;0.0
1370036730000;1.0;0.0;2.0
1370036731000;2.0;0.0;1.0
1370036732000;2.0;1.0;2.0
1370036733000;0.0;0.0;0.0
1370036734000;2.0;2.0;1.0
1370036735000;0.0;3.0;1.0
1370036736000;3.0;0.0;0.0
1370036737000;1.0;2.0;1.0
1370036738000;0.0;2.0;0.0
1370036739000;0.0;3.0;1.0
1370036740000;2.0;0.0;2.0
1370036741000;1.0;2.0;2.0
1370036742000;1.0;1.0;1.0
1370036743000;0.0;0.0;2.0
1370036744000;0.0;1.0;1.0
1370036745000;1.0;1.0;1.0
1370036746000;4.0;1.0;3.0
1370036747000;0.0;0.0;1.0
1370036748000;1.0;0.0;0.0
1370036749000;3.0;3.0;0.0
1370036750000;0.0;2.0;1.0
1370036751000;0.0;1.0;0.0
1370036752000;1.0;2.0;0.0
1370036753000;0.0;2.0;0.0
1370036754000;1.0;1.0;2.0
1370036755000;0.0;1.0;3.0
1370036756000;1.0;2.0;1.0
1370036757000;0.0;3.0;0.0
1370036758000;1.0;0.0;0.0
1370036759000;1.0;1.0;1.0
1370036760000;3.0;0.0;0.0
1370036761000;1.0;0.0;0.0
1370036762000;3.0;1.0;0.0
1370036763000;1.0;1.0;0.0
1370036764000;1.0;1.0;1.0
1370036765000;2.0;1.0;2.0
1370036766000;1.0;0.0;0.0
1370036767000;2.0;0.0;1.0
1370036768000;2.0;1.0;0.0
1370036769000;0.0;1.0;0.0
1370036770000;2.0;1.0;2.0
1370036771000;1.0;1.0;1.0
1370036772000;1.0;1.0;1.0
1370036773000;2.0;0.0;1.0
1370036774000;0.0;1.0;1.0
1370036775000;0.0;0.0;1.0
1370036776000;3.0;1.0;2.0
1370036777000;0.0;1.0;0.0
1370036778000;0.0;0.0;2.0
1370036779000;1.0;0.0;0.0
1370036780000;1.0;1.0;2.0
1370036781000;0.0;0.0;2.0
1370036782000;1.0;2.0;2.0
1370036783000;1.0;2.0;1.0
1370036784000;3.0;0.0;1.0
1370036785000;1.0;0.0;2.0
1370036786000;1.0;1.0;1.0
1370036787000;0.0;0.0;0.0
1370036788000;0.0;2.0;0.0
1370036789000;1.0;1.0;1.0
1370036790000;1.0;1.0;2.0
1370036791000;1.0;1.0;1.0
1370036792000;0.0;1.0;1.0
1370036793000;1.0;2.0;1.0
1370036794000;2.0;1.0;1.0
1370036795000;2.0;0.0;1.0
1370036796000;0.0;0.0;0.0
1370036797000;1.0;1.0;1.0
1370036798000;1.0;1.0;0.0
1370036799000;1.0;1.0;1.0
1370036800000;0.0;2.0;1.0
1370036801000;0.0;0.0;1.0
1370036802000;0.0;0.0;2.0
1370036803000;2.0;0.0;2.0
1370036804000;1.0;2.0;1.0
1370036805000;3.0;1.0;0.0
1370036806000;0.0;0.0;0.0
1370036807000;0.0;3.0;0.0
1370036808000;0.0;1.0;2.0
1370036809000;1.0;0.0;0.0
1370036810000;0.0;0.0;2.0
1370036811000;1.0;1.0;1.0
1370036812000;1.0;1.0;0.0
1370036813000;0.0;1.0;0.0
1370036814000;1.0;0.0;1.0
1370036815000;1.0;0.0;1.0
1370036816000;2.0;0.0;3.0
1370036817000;1.0;0.0;0.0
1370036818000;0.0;0.0;0.0
1370036819000;1.0;1.0;4.0
1370036820000;1.0;0.0;2.0
1370036821000;1.0;1.0;1.0
1370036822000;2.0;1.0;0.0
1370036823000;0.0;1.0;2.0
1370036824000;1.0;0.0;0.0
