Timestamp;WC0;WC1;WC2
1370032112000;0.0;2.0;1.0
1370032113000;0.0;1.0;1.0
1370032114000;3.0;1.0;1.0
1370032115000;0.0;0.0;2.0
1370032116000;1.0;1.0;0.0
1370032117000;3.0;0.0;0.0
1370032118000;5.0;0.0;3.0
1370032119000;1.0;1.0;0.0
1370032120000;1.0;1.0;3.0
1370032121000;1.0;0.0;2.0
1370032122000;0.0;2.0;3.0
1370032123000;2.0;0.0;1.0
1370032124000;0.0;1.0;2.0
1370032125000;1.0;0.0;1.0
1370032126000;2.0;0.0;1.0
1370032127000;1.0;0.0;1.0
1370032128000;0.0;1.0;0.0
1370032129000;2.0;3.0;0.0
1370032130000;1.0;0.0;1.0
1370032131000;2.0;0.0;1.0
1370032132000;2.0;0.0;1.0
1370032133000;0.0;0.0;2.0
1370032134000;1.0;1.0;1.0
1370032135000;1.0;0.0;0.0
1370032136000;0.0;2.0;0.0
1370032137000;0.0;1.0;1.0
1370032138000;3.0;0.0;0.0
1370032139000;1.0;2.0;0.0
1370032140000;0.0;1.0;0.0
1370032141000;3.0;4.0;1.0
1370032142000;0.0;0.0;0.0
1370032143000;0.0;1.0;1.0
1370032144000;0.0;1.0;4.0
1370032145000;1.0;2.0;2.0
1370032146000;1.0;0.0;2.0
1370032147000;0.0;0.0;2.0
1370032148000;1.0;1.0;0.0
1370032149000;2.0;0.0;3.0
1370032150000;1.0;1.0;2.0
1370032151000;1.0;2.0;0.0
1370032152000;1.0;0.0;1.0
1370032153000;1.0;0.0;0.0
1370032154000;0.0;4.0;1.0
1370032155000;2.0;0.0;1.0
1370032156000;2.0;0.0;0.0
1370032157000;0.0;1.0;0.0
1370032158000;1.0;2.0;0.0
1370032159000;1.0;2.0;2.0
1370032160000;1.0;1.0;1.0
1370032161000;0.0;1.0;0.0
1370032162000;0.0;0.0;2.0
1370032163000;4.0;0.0;1.0
1370032164000;0.0;1.0;0.0
1370032165000;1.0;0.0;0.0
1370032166000;1.0;1.0;1.0
1370032167000;2.0;4.0;1.0
1370032168000;1.0;1.0;0.0
1370032169000;1.0;1.0;2.0
1370032170000;1.0;0.0;1.0
1370032171000;0.0;1.0;2.0
1370032172000;0.0;2.0;3.0
1370032173000;1.0;1.0;1.0
1370032174000;1.0;1.0;1.0
1370032175000;0.0;2.0;1.0
1370032176000;0.0;0.0;1.0
1370032177000;0.0;1.0;2.0
1370032178000;1.0;1.0;1.0
1370032179000;1.0;0.0;3.0
1370032180000;2.0;2.0;0.0
1370032181000;0.0;1.0;1.0
1370032182000;3.0;1.0;3.0
1370032183000;2.0;3.0;1.0
1370032184000;0.0;2.0;1.0
1370032185000;0.0;0.0;2.0
1370032186000;1.0;1.0;1.0
1370032187000;1.0;1.0;2.0
1370032188000;3.0;0.0;2.0
1370032189000;4.0;0.0;1.0
1370032190000;3.0;0.0;2.0
1370032191000;1.0;0.0;1.0
1370032192000;1.0;2.0;0.0
1370032193000;0.0;2.0;4.0
1370032194000;0.0;2.0;1.0
1370032195000;1.0;1.0;0.0
1370032196000;1.0;0.0;0.0
1370032197000;1.0;1.0;0.0
1370032198000;2.0;0.0;2.0
1370032199000;2.0;2.0;0.0
1370032200000;0.0;0.0;0.0
1370032201000;0.0;1.0;2.0
1370032202000;1.0;1.0;0.0
1370032203000;6.0;2.0;3.0
1370032204000;2.0;1.0;0.0
1370032205000;3.0;0.0;1.0
1370032206000;1.0;3.0;2.0
1370032207000;1.0;0.0;0.0
1370032208000;3.0;0.0;1.0
1370032209000;0.0;2.0;3.0
1370032210000;1.0;2.0;2.0
1370032211000;3.0;0.0;2.0
1370032212000;0.0;1.0;0.0
1370032213000;1.0;1.0;3.0
1370032214000;1.0;0.0;0.0
1370032215000;1.0;1.0;0.0
1370032216000;2.0;1.0;2.0
1370032217000;1.0;1.0;0.0
1370032218000;4.0;1.0;2.0
1370032219000;5.0;1.0;1.0
1370032220000;1.0;0.0;0.0
1370032221000;1.0;0.0;0.0
1370032222000;0.0;1.0;0.0
1370032223000;2.0;1.0;2.0
1370032224000;0.0;0.0;3.0
1370032225000;0.0;0.0;0.0
1370032226000;0.0;0.0;1.0
1370032227000;2.0;0.0;2.0
1370032228000;1.0;0.0;1.0
1370032229000;2.0;1.0;0.0
1370032230000;1.0;1.0;0.0
1370032231000;1.0;1.0;3.0
1370032232000;2.0;3.0;2.0
1370032233000;0.0;1.0;0.0
1370032234000;1.0;1.0;1.0
1370032235000;1.0;1.0;1.0
1370032236000;3.0;0.0;1.0
1370032237000;1.0;0.0;1.0
1370032238000;1.0;1.0;1.0
1370032239000;2.0;0.0;1.0
1370032240000;0.0;1.0;2.0
1370032241000;3.0;2.0;1.0
1370032242000;1.0;1.0;1.0
1370032243000;0.0;0.0;1.0
1370032244000;1.0;4.0;5.0
1370032245000;0.0;2.0;1.0
1370032246000;0.0;0.0;2.0
1370032247000;2.0;0.0;2.0
1370032248000;0.0;2.0;2.0
1370032249000;0.0;1.0;1.0
1370032250000;0.0;1.0;0.0
1370032251000;3.0;2.0;2.0
1370032252000;3.0;0.0;0.0
1370032253000;1.0;2.0;0.0
1370032254000;2.0;2.0;2.0
1370032255000;0.0;0.0;1.0
1370032256000;0.0;1.0;1.0
1370032257000;1.0;1.0;1.0
1370032258000;3.0;3.0;0.0
1370032259000;2.0;2.0;3.0
1370032260000;0.0;1.0;1.0
1370032261000;1.0;0.0;0.0
1370032262000;1.0;0.0;1.0
1370032263000;0.0;1.0;2.0
1370032264000;1.0;1.0;3.0
1370032265000;1.0;1.0;2.0
1370032266000;3.0;2.0;2.0
1370032267000;1.0;0.0;1.0
1370032268000;1.0;1.0;2.0
1370032269000;2.0;0.0;2.0
1370032270000;2.0;0.0;1.0
1370032271000;2.0;1.0;1.0
1370032272000;1.0;2.0;0.0
1370032273000;1.0;0.0;0.0
1370032274000;1.0;1.0;1.0
1370032275000;3.0;1.0;0.0
1370032276000;0.0;0.0;0.0
1370032277000;1.0;2.0;0.0
1370032278000;0.0;2.0;3.0
1370032279000;0.0;2.0;3.0
1370032280000;0.0;2.0;1.0
1370032281000;2.0;1.0;0.0
1370032282000;1.0;0.0;1.0
1370032283000;1.0;2.0;2.0
1370032284000;3.0;1.0;4.0
1370032285000;3.0;1.0;0.0
1370032286000;0.0;0.0;1.0
1370032287000;1.0;1.0;0.0
1370032288000;1.0;2.0;1.0
1370032289000;1.0;1.0;3.0
1370032290000;2.0;0.0;2.0
1370032291000;0.0;1.0;1.0
1370032292000;2.0;1.0;1.0
1370032293000;0.0;1.0;0.0
1370032294000;1.0;0.0;0.0
1370032295000;2.0;1.0;2.0
1370032296000;0.0;2.0;1.0
1370032297000;0.0;0.0;1.0
1370032298000;0.0;1.0;1.0
1370032299000;0.0;1.0;0.0
1370032300000;1.0;1.0;0.0
1370032301000;0.0;3.0;1.0
1370032302000;2.0;0.0;1.0
1370032303000;1.0;2.0;0.0
1370032304000;1.0;0.0;2.0
1370032305000;1.0;0.0;2.0
1370032306000;1.0;1.0;0.0
1370032307000;1.0;1.0;1.0
1370032308000;2.0;1.0;1.0
1370032309000;1.0;0.0;1.0
1370032310000;1.0;2.0;1.0
1370032311000;5.0;3.0;1.0
1370032312000;1.0;0.0;0.0
1370032313000;1.0;3.0;2.0
1370032314000;2.0;0.0;0.0
1370032315000;1.0;3.0;0.0
1370032316000;0.0;0.0;0.0
1370032317000;0.0;1.0;1.0
1370032318000;1.0;4.0;0.0
1370032319000;0.0;0.0;1.0
1370032320000;0.0;1.0;1.0
1370032321000;0.0;0.0;0.0
1370032322000;3.0;0.0;2.0
1370032323000;0.0;1.0;3.0
1370032324000;2.0;3.0;3.0
1370032325000;1.0;0.0;0.0
1370032326000;1.0;1.0;0.0
1370032327000;0.0;2.0;0.0
1370032328000;1.0;0.0;1.0
1370032329000;0.0;0.0;1.0
1370032330000;0.0;0.0;1.0
1370032331000;2.0;3.0;0.0
1370032332000;1.0;3.0;1.0
1370032333000;1.0;0.0;0.0
1370032334000;1.0;3.0;0.0
1370032335000;2.0;1.0;2.0
1370032336000;3.0;0.0;1.0
1370032337000;2.0;0.0;2.0
1370032338000;1.0;3.0;1.0
1370032339000;1.0;0.0;1.0
1370032340000;2.0;2.0;1.0
1370032341000;2.0;0.0;2.0
1370032342000;2.0;1.0;2.0
1370032343000;3.0;2.0;2.0
1370032344000;1.0;1.0;1.0
1370032345000;1.0;0.0;1.0
1370032346000;1.0;0.0;0.0
1370032347000;2.0;2.0;2.0
1370032348000;1.0;0.0;1.0
1370032349000;0.0;2.0;2.0
1370032350000;0.0;1.0;2.0
1370032351000;1.0;2.0;1.0
1370032352000;2.0;2.0;0.0
1370032353000;0.0;3.0;1.0
1370032354000;1.0;3.0;3.0
1370032355000;0.0;0.0;1.0
1370032356000;0.0;0.0;0.0
1370032357000;0.0;3.0;2.0
1370032358000;0.0;1.0;0.0
1370032359000;1.0;1.0;3.0
1370032360000;0.0;1.0;3.0
1370032361000;2.0;1.0;1.0
1370032362000;0.0;2.0;1.0
1370032363000;3.0;1.0;1.0
1370032364000;1.0;5.0;1.0
1370032365000;0.0;0.0;1.0
1370032366000;1.0;1.0;1.0
1370032367000;2.0;0.0;1.0
1370032368000;3.0;2.0;1.0
1370032369000;1.0;1.0;2.0
1370032370000;2.0;0.0;3.0
1370032371000;0.0;0.0;1.0
1370032372000;5.0;1.0;1.0
1370032373000;1.0;2.0;1.0
1370032374000;0.0;4.0;1.0
1370032375000;3.0;1.0;0.0
1370032376000;1.0;3.0;3.0
1370032377000;1.0;0.0;1.0
1370032378000;1.0;1.0;0.0
1370032379000;0.0;0.0;2.0
1370032380000;3.0;0.0;0.0
1370032381000;0.0;0.0;1.0
1370032382000;2.0;2.0;1.0
1370032383000;2.0;0.0;4.0
1370032384000;1.0;2.0;0.0
1370032385000;1.0;2.0;2.0
1370032386000;1.0;0.0;2.0
1370032387000;1.0;0.0;3.0
1370032388000;3.0;0.0;0.0
1370032389000;1.0;0.0;1.0
1370032390000;1.0;1.0;1.0
1370032391000;2.0;0.0;1.0
1370032392000;0.0;1.0;2.0
1370032393000;3.0;2.0;0.0
1370032394000;1.0;1.0;0.0
1370032395000;0.0;0.0;1.0
1370032396000;0.0;2.0;0.0
1370032397000;0.0;1.0;1.0
1370032398000;0.0;2.0;1.0
1370032399000;1.0;1.0;2.0
1370032400000;1.0;2.0;0.0
1370032401000;1.0;2.0;2.0
1370032402000;4.0;1.0;2.0
