Timestamp;WC0;WC1;WC2
1370009672000;0.005;0.0;0.097
1370009673000;0.0;0.191;0.0
1370009674000;0.034;0.269;0.214
1370009675000;0.033;0.0;0.0
1370009676000;0.012;0.0;0.129
1370009677000;0.0;0.0505;0.021
1370009678000;0.0;0.0;0.05
1370009679000;0.0;0.063;0.0
1370009680000;0.0;0.0;0.0
1370009681000;0.0;0.0;0.0
1370009682000;0.0;0.0;0.162
1370009683000;0.0;0.088;0.0
1370009684000;0.0;0.056;0.041
1370009685000;0.096;0.0;0.0
1370009686000;0.03;0.0;0.227
1370009687000;0.0;0.0;0.0
1370009688000;0.0;0.0;0.0
1370009689000;0.0;0.08349999999999999;0.0
1370009690000;0.004;0.27;0.0
1370009691000;0.022;0.088;0.0
1370009692000;0.018;0.094;0.0
1370009693000;0.005;0.063;0.0155
1370009694000;0.0;0.107;0.127
1370009695000;0.0;0.206;0.0
1370009696000;0.0;0.0;0.225
1370009697000;0.0;0.082;0.034499999999999996
1370009698000;0.0;0.018;0.076
1370009699000;0.004999999999999999;0.0;0.0
1370009700000;0.0;0.077;0.0815
1370009701000;0.0;0.002;0.0
1370009702000;0.126;0.059;0.0055
1370009703000;0.0;0.15733333333333333;0.0
1370009704000;0.0023333333333333335;0.027;0.0
1370009705000;0.018;0.011;0.002
1370009706000;0.048;0.0;0.126
1370009707000;0.041;0.055;0.0
1370009708000;0.0;0.052;0.0
1370009709000;0.0;0.128;0.2665
1370009710000;0.016;0.058;0.047
1370009711000;0.008;0.0;0.0
1370009712000;0.0;0.052500000000000005;0.0
1370009713000;0.112;0.036;0.0
1370009714000;0.0;0.0;0.2225
1370009715000;0.02;0.0;0.0
1370009716000;0.0;0.0;0.1975
1370009717000;0.0;0.007;0.33499999999999996
1370009718000;0.016;0.0;0.167
1370009719000;0.01;0.0;0.0
1370009720000;0.0;0.0;0.175
1370009721000;0.01;0.061;0.0
1370009722000;0.159;0.402;0.339
1370009723000;0.0;0.004;0.0
1370009724000;0.012;0.047;0.285
1370009725000;0.0;0.011;0.155
1370009726000;0.0;0.079;0.224
1370009727000;0.001;0.034;0.057
1370009728000;0.037;0.079;0.0
1370009729000;0.0;0.4355;0.0
1370009730000;0.0;0.0;0.0
1370009731000;0.0;0.0;0.0
1370009732000;0.047;0.0;0.0
1370009733000;0.044;0.267;0.08
1370009734000;0.0;0.0;0.0
1370009735000;0.017;0.034;0.091
1370009736000;0.0;0.2115;0.1805
1370009737000;0.0;0.04;0.0
1370009738000;0.0;0.0;0.0
1370009739000;0.0305;0.0;0.0
1370009740000;0.011;0.0;0.017
1370009741000;0.056;0.134;0.167
1370009742000;0.005;0.23450000000000001;0.28
1370009743000;0.037000000000000005;0.22;0.237
1370009744000;0.023;0.199;0.0
1370009745000;0.029500000000000002;0.10750000000000001;0.301
1370009746000;0.03;0.0;0.273
1370009747000;0.0;0.054;0.481
1370009748000;0.0;0.1025;0.08
1370009749000;0.106;0.0;0.0
1370009750000;0.0465;0.05;0.0
1370009751000;0.001;0.248;0.422
1370009752000;0.061;0.089;0.0
1370009753000;0.14;0.28400000000000003;0.004
1370009754000;0.0475;0.144;0.0
1370009755000;0.009000000000000001;0.062;0.01
1370009756000;0.05;0.069;0.076
1370009757000;0.0;0.0;0.117
1370009758000;0.0;0.0;0.0
1370009759000;0.036000000000000004;0.0;0.0
1370009760000;0.0;0.0;0.0
1370009761000;0.0;0.0;0.0
1370009762000;0.0;0.082;0.0
1370009763000;0.011;0.0;0.0
1370009764000;0.0;0.12;0.0
1370009765000;0.012;0.077;0.06849999999999999
1370009766000;0.0;0.0;0.011
1370009767000;0.0;0.078;0.0
1370009768000;0.037;0.0;0.0
1370009769000;0.0;0.097;0.0
1370009770000;0.009;0.0;0.0
1370009771000;0.0;0.0;0.0
1370009772000;0.0;0.0;0.0
1370009773000;0.069;0.044;0.4245
1370009774000;0.0;0.093;0.0
1370009775000;0.0;0.0;0.0
1370009776000;0.024999999999999998;0.0;0.0
1370009777000;0.045500000000000006;0.0;0.0
1370009778000;0.0;0.0;0.225
1370009779000;0.0;0.128;0.0
1370009780000;0.022500000000000003;0.218;0.051
1370009781000;0.034;0.001;0.0
1370009782000;0.0;0.0;0.0
1370009783000;0.0;0.06;0.0
1370009784000;0.083;0.059;0.1245
1370009785000;0.025;0.118;0.041
1370009786000;0.0;0.294;0.055
1370009787000;0.001;0.0;0.0795
1370009788000;0.035500000000000004;0.0;0.0
1370009789000;0.001;0.0;0.078
1370009790000;0.001;0.19;0.008
1370009791000;0.0;0.0;0.0
1370009792000;0.0;0.0;0.0
1370009793000;0.0;0.0735;0.035
1370009794000;0.0;0.2445;0.0
1370009795000;0.003;0.3046666666666667;0.3945
1370009796000;0.0;0.203;0.171
1370009797000;0.006500000000000001;0.0915;0.034
1370009798000;0.122;0.0;0.247
1370009799000;0.0;0.0;0.04
1370009800000;0.017;0.0635;0.038
1370009801000;0.0;0.095;0.09500000000000001
1370009802000;0.01;0.0;0.024
1370009803000;0.0;0.001;0.0
1370009804000;0.0;0.109;0.033
1370009805000;0.0;0.127;0.0
1370009806000;0.0;0.0;0.002
1370009807000;0.0;0.084;0.0
1370009808000;0.0;0.0;0.1945
1370009809000;0.015;0.041999999999999996;0.0
1370009810000;0.0;0.0;0.3025
1370009811000;0.006;1.159;0.5435
1370009812000;0.0;0.4043333333333334;1.726
1370009813000;0.0115;0.09000000000000001;0.0
1370009814000;0.042;0.0;0.447
1370009815000;0.001;0.0;0.1125
1370009816000;0.0;0.08;0.08449999999999999
1370009817000;0.0;0.02;0.0
1370009818000;0.0;0.182;0.0
1370009819000;0.0;0.0;0.29175
1370009820000;0.114;0.14350000000000002;0.0
1370009821000;0.0;0.119;0.07250000000000001
1370009822000;0.0;0.053750000000000006;0.05
1370009823000;0.0;0.02;0.0205
1370009824000;0.0;0.011;0.0
1370009825000;0.026;0.0;0.062
1370009826000;0.0;0.015;0.0
1370009827000;0.0;0.0;0.0
1370009828000;0.0085;0.19133333333333336;0.0
1370009829000;0.0;0.061;0.0
1370009830000;0.0;0.22;0.0
1370009831000;0.017333333333333336;1.032;0.5043333333333333
1370009832000;0.018;0.1545;0.113
1370009833000;0.0;0.016;0.0
1370009834000;0.0;0.255;0.0
1370009835000;0.0;0.159;0.0
1370009836000;0.0;0.0;0.0
1370009837000;0.0;0.0745;0.042
1370009838000;0.0;0.13099999999999998;0.045
1370009839000;0.038;0.167;0.0
1370009840000;0.0;0.0;0.0
1370009841000;0.0;0.148;0.07
1370009842000;0.004;0.0;0.0
1370009843000;0.0;0.239;0.018
1370009844000;0.0;0.046;0.0
1370009845000;0.0;0.205;0.0
1370009846000;0.0;0.06;0.074
1370009847000;0.0;0.25366666666666665;0.0
1370009848000;0.0;0.0;0.1055
1370009849000;0.019;0.062;0.0
1370009850000;0.015000000000000001;0.0;0.033
1370009851000;0.004;0.0;0.0
1370009852000;0.0315;0.19;0.0
1370009853000;0.0;0.0;0.0
1370009854000;0.0;0.099;0.0
1370009855000;0.0;0.019;0.0635
1370009856000;0.001;0.0;0.0
1370009857000;0.0;0.0;0.0
1370009858000;0.022;0.242;0.0
1370009859000;0.003;0.07050000000000001;0.0
1370009860000;0.004;0.0;0.0
1370009861000;0.022;0.0;0.0
1370009862000;0.022;0.237;0.07
1370009863000;0.013;0.0;0.002
1370009864000;0.0125;0.108;0.257
1370009865000;0.01;0.296;0.0
1370009866000;0.0435;0.0;0.0
1370009867000;0.0;0.072;0.0
1370009868000;0.0;0.127;0.005
1370009869000;0.0;0.173;0.097
1370009870000;0.0;0.0;0.15000000000000002
1370009871000;0.0;0.631;0.0
1370009872000;0.009;0.051000000000000004;0.0
1370009873000;0.0;0.0785;0.08066666666666666
1370009874000;0.0;0.004;0.28
1370009875000;0.0;0.0;0.0
1370009876000;0.013;0.076;0.0
1370009877000;0.014;0.0;0.0
1370009878000;0.0;0.0;0.0445
1370009879000;0.001;0.088;0.069
1370009880000;0.0;0.0;0.032
1370009881000;0.01;0.156;0.499
1370009882000;0.024;0.061;0.225
1370009883000;0.072;0.232;0.0
1370009884000;0.0;0.0;0.0
1370009885000;0.0;0.375;0.0
1370009886000;0.019;0.0;0.0
1370009887000;0.0;0.0;0.306
1370009888000;0.0095;0.0;0.4045
1370009889000;0.0;0.096;0.0
1370009890000;0.0;0.08;0.0
1370009891000;0.0;0.0;0.011
1370009892000;0.02;0.0;0.0
