Timestamp;WC0;WC1
1370131172000;11.0;14.0
1370131173000;9.0;7.0
1370131174000;9.0;8.0
1370131175000;8.0;10.0
1370131176000;14.0;4.0
1370131177000;9.0;9.0
1370131178000;11.0;8.0
1370131179000;13.0;14.0
1370131180000;8.0;9.0
1370131181000;12.0;7.0
1370131182000;8.0;8.0
1370131183000;6.0;12.0
1370131184000;17.0;11.0
1370131185000;6.0;8.0
1370131186000;7.0;13.0
1370131187000;6.0;7.0
1370131188000;5.0;10.0
1370131189000;7.0;10.0
1370131190000;10.0;7.0
1370131191000;14.0;7.0
1370131192000;9.0;9.0
1370131193000;10.0;6.0
1370131194000;9.0;11.0
1370131195000;14.0;14.0
1370131196000;6.0;12.0
1370131197000;12.0;7.0
1370131198000;15.0;9.0
1370131199000;7.0;9.0
1370131200000;13.0;7.0
1370131201000;13.0;12.0
1370131202000;16.0;8.0
1370131203000;11.0;10.0
1370131204000;11.0;10.0
1370131205000;9.0;8.0
1370131206000;9.0;12.0
1370131207000;14.0;12.0
1370131208000;15.0;11.0
1370131209000;10.0;14.0
1370131210000;14.0;9.0
1370131211000;8.0;10.0
1370131212000;13.0;12.0
1370131213000;6.0;12.0
1370131214000;14.0;10.0
1370131215000;11.0;6.0
1370131216000;16.0;13.0
1370131217000;12.0;9.0
1370131218000;10.0;12.0
1370131219000;7.0;8.0
1370131220000;7.0;6.0
1370131221000;10.0;9.0
1370131222000;10.0;5.0
1370131223000;10.0;3.0
1370131224000;10.0;9.0
1370131225000;5.0;11.0
1370131226000;7.0;17.0
1370131227000;8.0;9.0
1370131228000;13.0;8.0
1370131229000;15.0;7.0
1370131230000;8.0;13.0
1370131231000;13.0;11.0
1370131232000;10.0;11.0
1370131233000;12.0;12.0
1370131234000;6.0;11.0
1370131235000;6.0;9.0
1370131236000;7.0;14.0
1370131237000;7.0;7.0
1370131238000;8.0;14.0
1370131239000;9.0;12.0
1370131240000;9.0;7.0
1370131241000;16.0;13.0
1370131242000;12.0;13.0
1370131243000;10.0;8.0
1370131244000;5.0;11.0
1370131245000;10.0;11.0
1370131246000;12.0;6.0
1370131247000;10.0;9.0
1370131248000;5.0;8.0
1370131249000;10.0;11.0
1370131250000;12.0;9.0
1370131251000;8.0;18.0
1370131252000;6.0;7.0
1370131253000;9.0;8.0
1370131254000;6.0;9.0
1370131255000;8.0;11.0
1370131256000;9.0;7.0
1370131257000;10.0;5.0
1370131258000;4.0;12.0
1370131259000;13.0;12.0
1370131260000;8.0;12.0
1370131261000;11.0;9.0
1370131262000;7.0;6.0
1370131263000;5.0;7.0
