Timestamp;WC0;WC1
1370143052000;4.0;3.0
1370143053000;2.0;4.0
1370143054000;5.0;7.0
1370143055000;3.0;3.0
1370143056000;1.0;5.0
1370143057000;3.0;4.0
1370143058000;2.0;0.0
1370143059000;2.0;1.0
1370143060000;1.0;3.0
1370143061000;5.0;5.0
1370143062000;3.0;1.0
1370143063000;0.0;2.0
1370143064000;3.0;3.0
1370143065000;4.0;0.0
1370143066000;6.0;5.0
1370143067000;4.0;2.0
1370143068000;2.0;4.0
1370143069000;4.0;3.0
1370143070000;3.0;5.0
1370143071000;7.0;3.0
1370143072000;2.0;3.0
1370143073000;3.0;5.0
1370143074000;4.0;3.0
1370143075000;7.0;2.0
1370143076000;3.0;1.0
1370143077000;3.0;4.0
1370143078000;2.0;4.0
1370143079000;6.0;4.0
1370143080000;3.0;3.0
1370143081000;6.0;1.0
1370143082000;4.0;6.0
1370143083000;3.0;2.0
1370143084000;4.0;3.0
1370143085000;2.0;4.0
1370143086000;5.0;4.0
1370143087000;4.0;2.0
1370143088000;6.0;6.0
1370143089000;3.0;3.0
1370143090000;5.0;4.0
1370143091000;4.0;1.0
1370143092000;8.0;3.0
1370143093000;5.0;5.0
1370143094000;2.0;4.0
1370143095000;5.0;3.0
1370143096000;1.0;2.0
1370143097000;1.0;3.0
1370143098000;2.0;1.0
1370143099000;8.0;5.0
1370143100000;2.0;4.0
1370143101000;0.0;2.0
1370143102000;1.0;3.0
1370143103000;2.0;2.0
1370143104000;7.0;6.0
1370143105000;3.0;1.0
1370143106000;1.0;3.0
1370143107000;3.0;2.0
1370143108000;2.0;4.0
1370143109000;4.0;1.0
1370143110000;4.0;6.0
1370143111000;5.0;2.0
1370143112000;2.0;2.0
1370143113000;0.0;4.0
1370143114000;2.0;3.0
1370143115000;3.0;5.0
1370143116000;5.0;2.0
1370143117000;2.0;6.0
1370143118000;0.0;2.0
1370143119000;4.0;0.0
1370143120000;5.0;3.0
1370143121000;3.0;4.0
1370143122000;3.0;0.0
1370143123000;4.0;2.0
1370143124000;2.0;1.0
1370143125000;2.0;1.0
1370143126000;2.0;4.0
1370143127000;1.0;4.0
1370143128000;6.0;2.0
1370143129000;4.0;6.0
1370143130000;3.0;4.0
1370143131000;1.0;2.0
1370143132000;2.0;2.0
1370143133000;4.0;3.0
1370143134000;6.0;3.0
1370143135000;4.0;0.0
1370143136000;7.0;3.0
1370143137000;2.0;4.0
1370143138000;4.0;2.0
1370143139000;3.0;1.0
1370143140000;1.0;3.0
1370143141000;5.0;0.0
1370143142000;2.0;1.0
1370143143000;1.0;2.0
1370143144000;5.0;6.0
1370143145000;5.0;2.0
1370143146000;2.0;3.0
