Timestamp;WC1
1370094391587;0.244
1370094392135;0.081
1370094392227;0.005
1370094392337;0.154
1370094393408;0.001
1370094394532;0.02
1370094396193;0.11
1370094396547;0.123
1370094398050;0.23
1370094399284;0.134
1370094399789;0.047
1370094399847;0.056
1370094400524;0.008
1370094401081;0.035
1370094401358;0.199
1370094402103;0.05
1370094402192;0.16
1370094403071;0.018
1370094403410;0.321
1370094405666;0.013
1370094406523;0.167
1370094407286;0.445
1370094407328;0.998
1370094407599;0.29
1370094407840;1.306
1370094408410;0.107
1370094409535;0.02
1370094409729;0.03
1370094410618;0.146
1370094411716;0.079
1370094412373;0.052
1370094412412;0.576
1370094412475;0.371
1370094412918;0.007
1370094413519;0.048
1370094414577;0.321
1370094414688;0.69
1370094414701;0.03
1370094414752;0.253
1370094415370;0.027
1370094415575;0.194
1370094416409;0.989
1370094416472;0.082
1370094416826;0.161
1370094416843;0.002
1370094416856;0.247
1370094417120;0.686
1370094417919;0.063
1370094418468;0.07
1370094418792;0.038
1370094420092;0.001
1370094420660;0.0
1370094421906;0.893
1370094422074;0.082
1370094422225;0.186
1370094422668;0.158
1370094422704;0.333
1370094422723;0.291
1370094423214;0.056
1370094423769;0.061
1370094425222;0.35
1370094425992;0.397
1370094426201;0.052
1370094427761;0.125
1370094427842;0.476
1370094427863;0.205
1370094428168;0.04
1370094428340;0.046
1370094428663;0.107
1370094429449;0.303
1370094430755;0.073
1370094431522;0.055
1370094432233;0.058
1370094434572;0.175
1370094435121;0.066
1370094435933;0.472
1370094436069;0.802
1370094436220;0.09
1370094436256;0.608
1370094436333;0.01
1370094437016;0.02
1370094438096;0.102
1370094438233;0.109
1370094438853;0.075
1370094439481;0.244
1370094439646;0.058
1370094439699;0.394
1370094440035;0.001
1370094440319;0.085
1370094440575;0.254
1370094441036;0.087
1370094441476;0.241
1370094441572;1.214
1370094441713;0.253
1370094442152;0.23
1370094443656;0.004
1370094444744;0.039
1370094444778;0.343
1370094446598;0.251
1370094447861;0.122
1370094448515;0.063
1370094450170;0.066
1370094450672;0.329
1370094450905;0.122
1370094451278;0.247
1370094451772;0.945
1370094451865;0.735
1370094452252;0.207
1370094452717;0.328
1370094453174;0.099
1370094453305;0.285
1370094453395;0.13
1370094453483;0.026
1370094454070;0.088
1370094454185;0.053
1370094454846;0.061
1370094454911;0.03
1370094455455;0.081
1370094455639;0.645
1370094457453;0.541
1370094457562;0.891
1370094458058;1.454
1370094459112;0.179
1370094459253;0.217
1370094459272;0.073
1370094459683;0.03
1370094461707;0.076
1370094461811;0.02
1370094461840;0.721
1370094462081;0.06
1370094462105;0.753
1370094462779;0.174
1370094463224;0.159
1370094463348;0.316
1370094463462;0.038
1370094463480;0.039
1370094465365;0.112
1370094466233;0.229
1370094466663;0.735
1370094466772;0.263
1370094467267;0.054
1370094467669;0.012
1370094468371;0.044
1370094468951;0.104
1370094469338;0.533
1370094470049;0.239
1370094470725;0.103
1370094470912;0.037
1370094471236;0.142
1370094471500;0.221
1370094472175;0.135
1370094472187;0.149
1370094472467;0.044
1370094473377;0.078
1370094473658;0.223
1370094474466;0.001
1370094475648;0.321
1370094479542;0.778
1370094479694;0.557
1370094479950;0.018
1370094480217;0.106
1370094480688;0.046
1370094481578;0.03
1370094482147;0.638
1370094482687;0.423
1370094482754;0.4
1370094483308;0.055
1370094483661;0.129
1370094483933;0.109
1370094485120;0.124
1370094485154;0.013
1370094486251;0.19
1370094486497;0.025
1370094486916;0.084
1370094488396;0.026
1370094488879;0.383
1370094489222;0.02
1370094490182;0.121
1370094490290;0.364
1370094490983;1.179
1370094491798;0.269
1370094492851;0.75
1370094492882;0.593
1370094493092;1.171
1370094493092;1.033
1370094493426;0.443
1370094493596;1.498
1370094493994;0.174
1370094494267;0.113
1370094494963;0.249
1370094495318;0.03
1370094495656;0.146
1370094495673;0.189
1370094496590;0.015
1370094497505;0.061
1370094497898;0.141
1370094499291;0.3
1370094499743;0.505
1370094499866;0.881
1370094500346;0.301
1370094500416;0.063
1370094501260;0.336
1370094501350;0.194
1370094501825;0.154
1370094501985;0.101
1370094502687;0.012
1370094502967;0.024
1370094503042;0.224
1370094503703;0.064
1370094504032;0.215
1370094504066;0.026
1370094504110;0.075
1370094504264;0.1
1370094504308;0.055
1370094505541;0.112
1370094506572;0.156
1370094506592;0.016
1370094507554;0.041
1370094508005;0.158
1370094508286;0.126
1370094508548;0.013
1370094508797;0.143
1370094509052;0.016
1370094509456;0.041
1370094510101;0.046
1370094511005;0.033
1370094511201;0.449
1370094511372;0.823
1370094511377;0.339
1370094512477;0.145
1370094512777;0.034
1370094512843;0.096
1370094513382;0.037
1370094514653;0.533
1370094515535;0.315
1370094516628;0.126
1370094516638;0.348
1370094517027;0.033
1370094517126;0.344
1370094517349;0.156
1370094517745;0.145
1370094517767;0.278
1370094518196;0.144
1370094518665;0.145
1370094518673;1.313
1370094518688;0.787
1370094518692;0.208
1370094519105;0.144
1370094519233;0.282
1370094519619;0.327
1370094519651;0.684
1370094521326;0.133
1370094522032;0.152
1370094522453;0.03
1370094523587;0.596
1370094524909;0.026
1370094524951;0.11
1370094525043;0.223
1370094525218;0.524
1370094525684;0.45
1370094525695;0.145
1370094525899;0.138
1370094526021;0.109
1370094526132;0.132
1370094527054;0.001
1370094527182;0.017
1370094528373;0.065
1370094528979;0.155
1370094529054;0.273
1370094529193;0.326
1370094529642;0.007
1370094530680;0.163
1370094530791;0.075
1370094531174;0.056
1370094531513;0.072
1370094533145;0.085
