Timestamp;WC0;WC1;WC2
1370150432000;5.0;2.0;3.0
1370150433000;0.0;0.0;4.0
1370150434000;3.0;4.0;2.0
1370150435000;5.0;4.0;3.0
1370150436000;5.0;0.0;3.0
1370150437000;6.0;4.0;2.0
1370150438000;2.0;4.0;5.0
1370150439000;1.0;5.0;5.0
1370150440000;1.0;3.0;5.0
1370150441000;5.0;6.0;4.0
1370150442000;1.0;2.0;4.0
1370150443000;1.0;4.0;5.0
1370150444000;2.0;4.0;3.0
1370150445000;3.0;4.0;6.0
1370150446000;6.0;2.0;3.0
1370150447000;2.0;4.0;2.0
1370150448000;6.0;7.0;1.0
1370150449000;0.0;5.0;3.0
1370150450000;5.0;1.0;4.0
1370150451000;4.0;2.0;8.0
1370150452000;2.0;3.0;2.0
1370150453000;5.0;4.0;2.0
1370150454000;2.0;6.0;5.0
1370150455000;3.0;2.0;3.0
1370150456000;5.0;5.0;1.0
1370150457000;3.0;2.0;3.0
1370150458000;3.0;5.0;3.0
1370150459000;2.0;6.0;7.0
1370150460000;5.0;3.0;4.0
1370150461000;2.0;1.0;3.0
1370150462000;4.0;2.0;4.0
1370150463000;3.0;2.0;2.0
1370150464000;2.0;4.0;3.0
1370150465000;4.0;5.0;7.0
1370150466000;1.0;0.0;5.0
1370150467000;1.0;4.0;0.0
1370150468000;4.0;2.0;4.0
1370150469000;3.0;5.0;1.0
1370150470000;3.0;2.0;2.0
1370150471000;5.0;1.0;3.0
1370150472000;4.0;4.0;3.0
1370150473000;4.0;3.0;2.0
1370150474000;2.0;0.0;3.0
1370150475000;1.0;4.0;2.0
1370150476000;2.0;2.0;2.0
1370150477000;3.0;3.0;0.0
1370150478000;3.0;3.0;4.0
1370150479000;2.0;4.0;4.0
1370150480000;4.0;2.0;3.0
1370150481000;1.0;3.0;6.0
1370150482000;2.0;3.0;1.0
1370150483000;3.0;3.0;3.0
1370150484000;0.0;5.0;9.0
1370150485000;2.0;5.0;2.0
1370150486000;6.0;3.0;4.0
1370150487000;3.0;4.0;2.0
1370150488000;4.0;3.0;4.0
1370150489000;2.0;2.0;4.0
1370150490000;1.0;3.0;2.0
1370150491000;2.0;3.0;1.0
1370150492000;6.0;3.0;5.0
1370150493000;3.0;4.0;4.0
1370150494000;3.0;7.0;2.0
1370150495000;4.0;2.0;8.0
1370150496000;6.0;4.0;1.0
1370150497000;8.0;2.0;5.0
1370150498000;2.0;3.0;5.0
1370150499000;8.0;5.0;1.0
1370150500000;5.0;4.0;4.0
1370150501000;4.0;4.0;5.0
1370150502000;2.0;2.0;4.0
1370150503000;7.0;5.0;4.0
1370150504000;2.0;4.0;4.0
1370150505000;2.0;4.0;2.0
1370150506000;7.0;2.0;2.0
1370150507000;1.0;3.0;4.0
1370150508000;4.0;1.0;2.0
1370150509000;1.0;3.0;2.0
1370150510000;4.0;3.0;2.0
1370150511000;3.0;2.0;3.0
1370150512000;4.0;7.0;6.0
1370150513000;3.0;3.0;6.0
1370150514000;6.0;2.0;5.0
1370150515000;1.0;2.0;2.0
1370150516000;0.0;3.0;3.0
1370150517000;5.0;2.0;0.0
1370150518000;4.0;5.0;3.0
1370150519000;4.0;3.0;3.0
1370150520000;4.0;3.0;4.0
1370150521000;1.0;2.0;2.0
1370150522000;4.0;3.0;3.0
1370150523000;3.0;5.0;7.0
1370150524000;8.0;3.0;5.0
1370150525000;5.0;3.0;4.0
1370150526000;4.0;1.0;4.0
1370150527000;3.0;3.0;3.0
1370150528000;1.0;5.0;6.0
1370150529000;2.0;3.0;8.0
1370150530000;2.0;2.0;4.0
1370150531000;7.0;6.0;2.0
1370150532000;4.0;3.0;3.0
1370150533000;3.0;3.0;6.0
1370150534000;5.0;8.0;0.0
1370150535000;2.0;3.0;4.0
1370150536000;3.0;5.0;3.0
1370150537000;4.0;2.0;2.0
1370150538000;6.0;3.0;5.0
1370150539000;1.0;2.0;2.0
1370150540000;4.0;3.0;3.0
1370150541000;4.0;0.0;6.0
1370150542000;7.0;3.0;3.0
1370150543000;7.0;1.0;4.0
1370150544000;3.0;4.0;2.0
1370150545000;3.0;2.0;2.0
1370150546000;6.0;2.0;3.0
1370150547000;2.0;1.0;3.0
1370150548000;4.0;3.0;8.0
1370150549000;2.0;4.0;3.0
1370150550000;3.0;3.0;3.0
1370150551000;2.0;5.0;3.0
1370150552000;1.0;0.0;4.0
1370150553000;3.0;2.0;0.0
1370150554000;2.0;5.0;1.0
1370150555000;1.0;2.0;4.0
1370150556000;3.0;3.0;3.0
1370150557000;4.0;4.0;3.0
1370150558000;0.0;7.0;2.0
1370150559000;2.0;1.0;3.0
1370150560000;3.0;3.0;4.0
1370150561000;4.0;4.0;1.0
1370150562000;6.0;2.0;4.0
1370150563000;3.0;6.0;1.0
1370150564000;2.0;2.0;3.0
1370150565000;3.0;2.0;2.0
1370150566000;3.0;4.0;3.0
1370150567000;4.0;1.0;4.0
1370150568000;3.0;2.0;6.0
1370150569000;3.0;2.0;1.0
1370150570000;2.0;1.0;4.0
1370150571000;3.0;5.0;4.0
1370150572000;7.0;1.0;2.0
1370150573000;5.0;5.0;1.0
1370150574000;9.0;4.0;3.0
1370150575000;3.0;2.0;7.0
1370150576000;4.0;5.0;5.0
1370150577000;9.0;4.0;3.0
1370150578000;3.0;3.0;1.0
1370150579000;1.0;2.0;3.0
1370150580000;1.0;2.0;5.0
1370150581000;4.0;5.0;2.0
1370150582000;1.0;8.0;4.0
1370150583000;4.0;2.0;3.0
1370150584000;4.0;5.0;3.0
1370150585000;1.0;5.0;5.0
1370150586000;7.0;4.0;1.0
1370150587000;1.0;2.0;4.0
1370150588000;4.0;4.0;1.0
1370150589000;5.0;7.0;2.0
1370150590000;5.0;4.0;4.0
1370150591000;5.0;3.0;4.0
1370150592000;5.0;3.0;3.0
1370150593000;4.0;3.0;5.0
1370150594000;5.0;5.0;6.0
1370150595000;2.0;1.0;4.0
1370150596000;4.0;3.0;2.0
1370150597000;1.0;7.0;5.0
1370150598000;3.0;3.0;1.0
1370150599000;2.0;7.0;5.0
1370150600000;3.0;4.0;2.0
1370150601000;3.0;6.0;3.0
1370150602000;5.0;3.0;2.0
1370150603000;5.0;1.0;2.0
1370150604000;3.0;5.0;1.0
1370150605000;4.0;3.0;6.0
1370150606000;5.0;3.0;1.0
1370150607000;4.0;4.0;4.0
1370150608000;5.0;2.0;1.0
1370150609000;9.0;2.0;5.0
1370150610000;3.0;6.0;10.0
1370150611000;2.0;2.0;1.0
1370150612000;2.0;3.0;4.0
1370150613000;4.0;4.0;0.0
1370150614000;4.0;4.0;3.0
1370150615000;3.0;1.0;5.0
1370150616000;8.0;4.0;3.0
1370150617000;6.0;1.0;5.0
1370150618000;3.0;2.0;3.0
1370150619000;2.0;3.0;3.0
1370150620000;1.0;3.0;2.0
1370150621000;4.0;1.0;2.0
1370150622000;3.0;4.0;0.0
1370150623000;2.0;1.0;5.0
1370150624000;3.0;2.0;5.0
1370150625000;4.0;3.0;2.0
1370150626000;4.0;2.0;4.0
1370150627000;3.0;1.0;4.0
1370150628000;1.0;4.0;2.0
1370150629000;3.0;6.0;6.0
1370150630000;3.0;1.0;4.0
1370150631000;4.0;2.0;5.0
1370150632000;2.0;4.0;5.0
1370150633000;2.0;2.0;2.0
1370150634000;0.0;1.0;5.0
1370150635000;2.0;3.0;4.0
1370150636000;1.0;3.0;8.0
1370150637000;4.0;1.0;2.0
1370150638000;3.0;4.0;2.0
1370150639000;5.0;3.0;6.0
1370150640000;2.0;3.0;4.0
1370150641000;6.0;1.0;3.0
1370150642000;0.0;3.0;6.0
1370150643000;1.0;3.0;3.0
1370150644000;4.0;3.0;4.0
1370150645000;2.0;2.0;4.0
1370150646000;4.0;2.0;4.0
1370150647000;1.0;3.0;2.0
1370150648000;1.0;5.0;2.0
1370150649000;4.0;1.0;2.0
1370150650000;5.0;5.0;4.0
1370150651000;2.0;3.0;4.0
1370150652000;3.0;4.0;2.0
1370150653000;5.0;5.0;2.0
1370150654000;4.0;3.0;6.0
1370150655000;6.0;5.0;6.0
1370150656000;3.0;3.0;3.0
1370150657000;1.0;3.0;4.0
1370150658000;4.0;4.0;4.0
1370150659000;2.0;2.0;4.0
1370150660000;5.0;5.0;1.0
1370150661000;4.0;1.0;4.0
1370150662000;3.0;3.0;5.0
1370150663000;3.0;2.0;2.0
1370150664000;1.0;3.0;3.0
1370150665000;7.0;2.0;3.0
1370150666000;4.0;4.0;4.0
1370150667000;2.0;3.0;5.0
1370150668000;4.0;2.0;5.0
1370150669000;4.0;3.0;3.0
1370150670000;3.0;2.0;6.0
1370150671000;1.0;6.0;3.0
