Timestamp;WC0;WC1
1370202159000;11.0;9.0
1370202160000;12.0;15.0
1370202161000;10.0;16.0
1370202162000;13.0;18.0
1370202163000;18.0;12.0
1370202164000;12.0;14.0
1370202165000;15.0;10.0
1370202166000;21.0;10.0
1370202167000;22.0;15.0
1370202168000;13.0;13.0
1370202169000;13.0;18.0
1370202170000;13.0;17.0
1370202171000;21.0;14.0
1370202172000;10.0;13.0
1370202173000;13.0;16.0
1370202174000;17.0;15.0
1370202175000;16.0;22.0
1370202176000;16.0;15.0
1370202177000;20.0;11.0
1370202178000;12.0;15.0
1370202179000;16.0;13.0
1370202180000;13.0;16.0
1370202181000;19.0;9.0
1370202182000;15.0;11.0
1370202183000;13.0;14.0
1370202184000;12.0;10.0
1370202185000;22.0;11.0
1370202186000;22.0;13.0
1370202187000;10.0;9.0
1370202188000;16.0;12.0
1370202189000;16.0;17.0
1370202190000;11.0;17.0
1370202191000;19.0;12.0
1370202192000;13.0;14.0
1370202193000;16.0;21.0
1370202194000;12.0;15.0
1370202195000;14.0;21.0
1370202196000;16.0;13.0
1370202197000;22.0;15.0
1370202198000;10.0;13.0
1370202199000;16.0;11.0
1370202200000;13.0;14.0
1370202201000;14.0;9.0
1370202202000;7.0;11.0
1370202203000;11.0;14.0
1370202204000;17.0;16.0
1370202205000;13.0;21.0
1370202206000;17.0;14.0
1370202207000;19.0;14.0
1370202208000;16.0;16.0
1370202209000;21.0;17.0
1370202210000;18.0;12.0
1370202211000;16.0;15.0
1370202212000;21.0;12.0
1370202213000;18.0;14.0
1370202214000;17.0;14.0
1370202215000;16.0;20.0
1370202216000;13.0;10.0
1370202217000;13.0;10.0
1370202218000;15.0;17.0
1370202219000;17.0;13.0
1370202220000;8.0;16.0
1370202221000;12.0;14.0
1370202222000;12.0;15.0
1370202223000;13.0;15.0
1370202224000;9.0;13.0
1370202225000;18.0;14.0
1370202226000;19.0;15.0
1370202227000;17.0;18.0
1370202228000;20.0;12.0
1370202229000;21.0;20.0
1370202230000;15.0;14.0
1370202231000;14.0;18.0
1370202232000;16.0;6.0
1370202233000;14.0;16.0
1370202234000;16.0;12.0
1370202235000;11.0;14.0
1370202236000;19.0;18.0
1370202237000;21.0;10.0
1370202238000;17.0;14.0
1370202239000;12.0;12.0
1370202240000;12.0;15.0
1370202241000;14.0;20.0
1370202242000;17.0;15.0
1370202243000;12.0;11.0
1370202244000;22.0;11.0
1370202245000;19.0;21.0
1370202246000;8.0;17.0
1370202247000;10.0;10.0
1370202248000;14.0;14.0
1370202249000;16.0;11.0
1370202250000;16.0;18.0
1370202251000;10.0;21.0
1370202252000;17.0;14.0
1370202253000;17.0;12.0
1370202254000;18.0;17.0
1370202255000;18.0;24.0
1370202256000;14.0;17.0
1370202257000;14.0;21.0
1370202258000;17.0;10.0
1370202259000;17.0;17.0
1370202260000;13.0;15.0
1370202261000;12.0;15.0
1370202262000;14.0;13.0
1370202263000;15.0;9.0
1370202264000;16.0;13.0
1370202265000;20.0;9.0
1370202266000;18.0;15.0
1370202267000;15.0;13.0
