Timestamp;WC0;WC1;WC2
1370197052000;2.0;7.0;5.0
1370197053000;1.0;2.0;2.0
1370197054000;5.0;3.0;4.0
1370197055000;3.0;2.0;1.0
1370197056000;4.0;1.0;1.0
1370197057000;1.0;4.0;3.0
1370197058000;3.0;4.0;4.0
1370197059000;1.0;2.0;4.0
1370197060000;6.0;1.0;1.0
1370197061000;2.0;0.0;2.0
1370197062000;4.0;3.0;3.0
1370197063000;3.0;2.0;3.0
1370197064000;0.0;2.0;2.0
1370197065000;4.0;5.0;2.0
1370197066000;2.0;5.0;4.0
1370197067000;2.0;3.0;2.0
1370197068000;2.0;0.0;4.0
1370197069000;3.0;1.0;0.0
1370197070000;0.0;2.0;1.0
1370197071000;4.0;4.0;5.0
1370197072000;4.0;2.0;2.0
1370197073000;2.0;1.0;2.0
1370197074000;1.0;2.0;6.0
1370197075000;3.0;3.0;3.0
1370197076000;2.0;2.0;2.0
1370197077000;3.0;3.0;1.0
1370197078000;3.0;4.0;1.0
1370197079000;3.0;1.0;2.0
1370197080000;3.0;6.0;1.0
1370197081000;2.0;3.0;4.0
1370197082000;1.0;0.0;2.0
1370197083000;2.0;2.0;1.0
1370197084000;2.0;1.0;1.0
1370197085000;1.0;5.0;2.0
1370197086000;2.0;2.0;1.0
1370197087000;0.0;6.0;4.0
1370197088000;2.0;3.0;1.0
1370197089000;6.0;2.0;3.0
1370197090000;2.0;3.0;2.0
1370197091000;4.0;2.0;4.0
1370197092000;1.0;5.0;5.0
1370197093000;5.0;3.0;4.0
1370197094000;3.0;4.0;0.0
1370197095000;4.0;0.0;4.0
1370197096000;4.0;3.0;3.0
1370197097000;0.0;2.0;4.0
1370197098000;2.0;3.0;4.0
1370197099000;5.0;6.0;1.0
1370197100000;2.0;3.0;4.0
1370197101000;2.0;2.0;4.0
1370197102000;4.0;2.0;2.0
1370197103000;2.0;3.0;4.0
1370197104000;7.0;3.0;1.0
1370197105000;2.0;5.0;0.0
1370197106000;2.0;1.0;1.0
1370197107000;2.0;1.0;2.0
1370197108000;2.0;4.0;5.0
1370197109000;4.0;6.0;0.0
1370197110000;3.0;3.0;1.0
1370197111000;5.0;4.0;2.0
1370197112000;4.0;1.0;2.0
1370197113000;3.0;2.0;3.0
1370197114000;2.0;4.0;2.0
1370197115000;2.0;2.0;2.0
1370197116000;4.0;1.0;3.0
1370197117000;6.0;1.0;1.0
1370197118000;4.0;2.0;3.0
1370197119000;4.0;3.0;2.0
1370197120000;6.0;4.0;2.0
1370197121000;6.0;1.0;7.0
1370197122000;3.0;3.0;4.0
1370197123000;2.0;1.0;3.0
1370197124000;3.0;2.0;1.0
1370197125000;4.0;2.0;3.0
1370197126000;1.0;1.0;3.0
1370197127000;2.0;1.0;1.0
1370197128000;1.0;3.0;3.0
1370197129000;2.0;3.0;5.0
1370197130000;4.0;0.0;5.0
1370197131000;2.0;2.0;2.0
1370197132000;3.0;3.0;2.0
1370197133000;3.0;4.0;3.0
1370197134000;2.0;3.0;5.0
1370197135000;1.0;3.0;3.0
1370197136000;3.0;2.0;4.0
1370197137000;3.0;2.0;3.0
1370197138000;5.0;2.0;4.0
1370197139000;2.0;3.0;2.0
1370197140000;1.0;1.0;4.0
1370197141000;1.0;4.0;3.0
1370197142000;1.0;3.0;4.0
1370197143000;1.0;2.0;2.0
1370197144000;5.0;4.0;1.0
1370197145000;2.0;1.0;6.0
1370197146000;2.0;1.0;3.0
1370197147000;5.0;2.0;0.0
1370197148000;2.0;2.0;0.0
1370197149000;1.0;5.0;0.0
1370197150000;2.0;3.0;3.0
1370197151000;4.0;1.0;4.0
1370197152000;4.0;6.0;5.0
1370197153000;2.0;3.0;4.0
1370197154000;2.0;2.0;1.0
1370197155000;4.0;1.0;2.0
1370197156000;3.0;1.0;3.0
1370197157000;1.0;2.0;4.0
1370197158000;3.0;4.0;3.0
1370197159000;2.0;3.0;3.0
1370197160000;3.0;6.0;4.0
1370197161000;3.0;5.0;1.0
1370197162000;3.0;3.0;4.0
1370197163000;6.0;4.0;4.0
1370197164000;3.0;2.0;2.0
1370197165000;3.0;3.0;1.0
1370197166000;1.0;1.0;2.0
1370197167000;6.0;2.0;4.0
1370197168000;4.0;2.0;2.0
1370197169000;3.0;2.0;0.0
1370197170000;4.0;2.0;4.0
1370197171000;3.0;1.0;1.0
1370197172000;4.0;1.0;1.0
1370197173000;4.0;5.0;5.0
1370197174000;2.0;2.0;4.0
1370197175000;5.0;2.0;3.0
1370197176000;4.0;5.0;3.0
1370197177000;3.0;2.0;3.0
1370197178000;4.0;1.0;0.0
1370197179000;2.0;5.0;3.0
1370197180000;0.0;3.0;6.0
1370197181000;3.0;3.0;3.0
1370197182000;4.0;2.0;1.0
1370197183000;2.0;1.0;3.0
1370197184000;4.0;3.0;3.0
1370197185000;5.0;6.0;3.0
1370197186000;6.0;4.0;3.0
1370197187000;2.0;2.0;1.0
1370197188000;2.0;3.0;1.0
