Finish time,Time,Type,Selected Approach,Estimated Demand,Estimated Error,
1564047944657, 4101, EVALUATION, tools.descartes.librede.approach.WangKalmanFilterApproach, [[NaN; NaN; NaN]], 1.7976931348623157E308, 
1564047944759, 4216, EVALUATION, tools.descartes.librede.approach.UtilizationRegressionApproach, [[0.0; 0.0; 0.0]], 1.7976931348623157E308, 
1564047944993, 4456, EVALUATION, tools.descartes.librede.approach.ResponseTimeRegressionApproach, [[0.0; 0.0; 0.0]], 1.7976931348623157E308, 
1564047945122, 4587, EVALUATION, tools.descartes.librede.approach.ServiceDemandLawApproach, [[0.0; 0.0; 0.0]], 1.7976931348623157E308, 
1564047945135, 4580, EVALUATION, tools.descartes.librede.approach.KumarKalmanFilterApproach, [[NaN; NaN; NaN]], 1.7976931348623157E308, 
1564047945238, 4715, ESTIMATION, -,[[0.0; 0.0; 0.0]], 1.7976931348623157E308, 
1564047945293, 4751, EVALUATION, tools.descartes.librede.approach.ResponseTimeApproximationApproach, [[0.0; 0.0; 0.0]], 1.7976931348623157E308, 
1564047945296, 0, RECOMMENDATION, None., -,-,
1564048011414, 3, EVALUATION, tools.descartes.librede.approach.UtilizationRegressionApproach, [[0.0; 0.0; 0.0]], 0.6076836046794936, 
1564048011415, 6, EVALUATION, tools.descartes.librede.approach.ServiceDemandLawApproach, [[0.006878523505709671; 0.02697690766445558; 0.006650084882976873]], 0.0, 
1564048011421, 10, EVALUATION, tools.descartes.librede.approach.KumarKalmanFilterApproach, [[0.007668784568764889; 0.023701575917261224; 0.00817316160603948]], 8.813364707102034E-4, 
1564048011424, 14, ESTIMATION, -,[[0.006878523505709671; 0.02697690766445558; 0.006650084882976873]], 0.0, 
1564048011426, 15, EVALUATION, tools.descartes.librede.approach.ResponseTimeRegressionApproach, [[0.0; 0.0; 0.0]], 0.6076836046794936, 
