Finish time,Time,Type,Selected Approach,Estimated Demand,Estimated Error,
1564495849743, 3747, EVALUATION, tools.descartes.librede.approach.UtilizationRegressionApproach, [[0.0; 0.0; 0.0]], 1.7976931348623157E308, 
1564495849756, 3760, EVALUATION, tools.descartes.librede.approach.ResponseTimeApproximationApproach, [[0.0; 0.0; 0.0]], 1.7976931348623157E308, 
1564495849833, 3838, ESTIMATION, -,[[0.0; 0.0; 0.0]], 1.7976931348623157E308, 
1564495849852, 3857, EVALUATION, tools.descartes.librede.approach.ResponseTimeRegressionApproach, [[0.0; 0.0; 0.0]], 1.7976931348623157E308, 
1564495849979, 3982, EVALUATION, tools.descartes.librede.approach.ServiceDemandLawApproach, [[0.0; 0.0; 0.0]], 1.7976931348623157E308, 
1564495850008, 4013, EVALUATION, tools.descartes.librede.approach.KumarKalmanFilterApproach, [[NaN; NaN; NaN]], 1.7976931348623157E308, 
1564495850113, 4114, EVALUATION, tools.descartes.librede.approach.WangKalmanFilterApproach, [[NaN; NaN; NaN]], 1.7976931348623157E308, 
1564495850120, 0, RECOMMENDATION, None., -,-,
1564495916189, 5, ESTIMATION, -,[[0.006878523505709671; 0.02697690766445558; 0.006650084882976873]], 0.5159805955465441, 
1564495916190, 3, EVALUATION, tools.descartes.librede.approach.UtilizationRegressionApproach, [[0.0; 0.0; 0.0]], 1.0, 
1564495916196, 17, EVALUATION, tools.descartes.librede.approach.ServiceDemandLawApproach, [[0.006878523505709671; 0.02697690766445558; 0.006650084882976873]], 0.23374758288659325, 
1564495916198, 19, EVALUATION, tools.descartes.librede.approach.WangKalmanFilterApproach, [[0.012077546570187322; 0.011834633706948606; 0.012727445020080379]], 1.1662560853742228, 
1564495916211, 16, EVALUATION, tools.descartes.librede.approach.ResponseTimeApproximationApproach, [[0.014211255669546449; 0.05573517800369452; 0.013739293965881394]], 4.913981601536652, 
1564495968912, 118790, TRAINING, -,-,-,
1564495986266, 17, ESTIMATION, -,[[0.006370032483358256; 0.028865221607832274; 0.004858423952222175]], 0.5423841717516337, 
1564495986276, 7, EVALUATION, tools.descartes.librede.approach.UtilizationRegressionApproach, [[0.0; 0.028622216196338174; 0.010739055019774991]], 1.0, 
1564495986277, 10, EVALUATION, tools.descartes.librede.approach.ResponseTimeRegressionApproach, [[0.0047510897126383945; 0.0220831018226333; 0.003438161701152722]], 0.333778803623197, 
1564495986278, 17, EVALUATION, tools.descartes.librede.approach.ServiceDemandLawApproach, [[0.006370032483358256; 0.028865221607832274; 0.004858423952222175]], 0.3085298712021204, 
1564495986279, 11, EVALUATION, tools.descartes.librede.approach.KumarKalmanFilterApproach, [[0.0077019201692863585; 0.024943155847540182; 0.007082288940590857]], 0.57125959249832, 
1564495986283, 11, EVALUATION, tools.descartes.librede.approach.ResponseTimeApproximationApproach, [[0.01392589161296472; 0.06365121792719936; 0.010438014261540304]], 3.6601184568101157, 
1564496056328, 7, ESTIMATION, -,[[0.005540062720742458; 0.029172062621225014; 0.003886346654445256]], 0.6079773752845644, 
1564496056330, 7, EVALUATION, tools.descartes.librede.approach.ServiceDemandLawApproach, [[0.005540062720742458; 0.029172062621225014; 0.003886346654445256]], 0.5473447004679491, 
