Finish time,Time,Type,Selected Approach,Estimated Demand,Estimated Error,
1591700075042, 2592, ESTIMATION, -,Error when running estimation., Error when running estimation., 
1591700075054, 0, RECOMMENDATION, None., -,-,
1591700134537, 59479, TRAINING, -,-,-,
1591700143080, 4, EVALUATION, tools.descartes.librede.approach.ResponseTimeApproximationApproach, [[0.012403028943683411; 0.039980447975095805; 0.010486610652910056]], 0.24356843103879697, 
1591700143081, 5, EVALUATION, tools.descartes.librede.approach.UtilizationRegressionApproach, [[0.0; 0.0; 0.0]], 0.3010290379412345, 
1591700143082, 6, EVALUATION, tools.descartes.librede.approach.ServiceDemandLawApproach, [[0.008552739279654706; 0.027569261457616536; 0.007231237405703717]], 0.01916678885891784, 
1591700143083, 6, EVALUATION, tools.descartes.librede.approach.ResponseTimeRegressionApproach, [[0.0; 0.0; 0.0]], 0.3010290379412345, 
1591700213107, 5, ESTIMATION, -,[[0.00806423175541171; 0.028876092217007036; 0.005778263845905719]], 0.027336194075870807, 
1591700213108, 4, EVALUATION, tools.descartes.librede.approach.ServiceDemandLawApproach, [[0.00806423175541171; 0.028876092217007036; 0.005778263845905719]], 0.027336194075870807, 
1591700213109, 4, EVALUATION, tools.descartes.librede.approach.ResponseTimeApproximationApproach, [[0.012556290451529215; 0.04530868966479963; 0.008871506403554259]], 0.4970090130987104, 
1591700213111, 5, EVALUATION, tools.descartes.librede.approach.ResponseTimeRegressionApproach, [[0.006048059159408268; 0.022094125347260764; 0.004175732364607886]], 0.08139897459025196, 
1591700213112, 3, EVALUATION, tools.descartes.librede.approach.WangKalmanFilterApproach, [[0.013992202164613804; 0.01527064054373936; 0.013004864621703012]], 0.11733040487825983, 
1591700243877, 757, RECOMMENDATION, None., -,-,
1591700283134, 4, ESTIMATION, -,[[0.008420864402377036; 0.028628303998827615; 0.0054462083305402975]], 0.02917412918237221, 
1591700283135, 4, EVALUATION, tools.descartes.librede.approach.ServiceDemandLawApproach, [[0.008420864402377036; 0.028628303998827615; 0.0054462083305402975]], 0.02917412918237221, 
1591700283137, 5, EVALUATION, tools.descartes.librede.approach.ResponseTimeRegressionApproach, [[0.006270639220625199; 0.02170525547389185; 0.0039794208173235925]], 0.08108697989918955, 
1591700283138, 6, EVALUATION, tools.descartes.librede.approach.UtilizationRegressionApproach, [[0.0; 0.030158685419147242; 0.011634161808752194]], 0.07921286220352343, 
1591700283139, 3, EVALUATION, tools.descartes.librede.approach.WangKalmanFilterApproach, [[0.013579945548376424; 0.015726299057786334; 0.01231257372770204]], 0.10521425961304291, 
1591700283140, 4, EVALUATION, tools.descartes.librede.approach.KumarKalmanFilterApproach, [[0.00944236638631357; 0.024898267381216588; 0.007611060487726445]], 0.0418395424809344, 
1591700353161, 4, ESTIMATION, -,[[0.007766150831611987; 0.02942456044444945; 0.004912331527337067]], 0.03709395342235368, 
1591700353162, 3, EVALUATION, tools.descartes.librede.approach.ResponseTimeApproximationApproach, [[0.012641198541121397; 0.04958818358450884; 0.007910764008806179]], 0.7760253004012533, 
1591700353164, 3, EVALUATION, tools.descartes.librede.approach.UtilizationRegressionApproach, [[0.008193621445501589; 0.02892625355525017; 0.0059295806489106945]], 0.045037514133097936, 
1591700353167, 4, EVALUATION, tools.descartes.librede.approach.WangKalmanFilterApproach, [[0.014071636200918836; 0.017600543701287295; 0.011415207975496172]], 0.1373262371480044, 
1591700413190, 10, RECOMMENDATION, tools.descartes.librede.configuration.impl.EstimationApproachConfigurationImpl@742dbac8 (type: tools.descartes.librede.approach.ServiceDemandLawApproach), -,-,
1591700423187, 4, EVALUATION, tools.descartes.librede.approach.ResponseTimeApproximationApproach, [[0.012479597397866062; 0.04974857225773991; 0.0078041794593014776]], 0.8690399017505135, 
1591700423188, 4, EVALUATION, tools.descartes.librede.approach.UtilizationRegressionApproach, [[0.0014914816448050178; 0.0316507493812275; 0.009228895360525177]], 0.06468989263814309, 
1591700423192, 9, EVALUATION, tools.descartes.librede.approach.ServiceDemandLawApproach, [[0.007561064849891046; 0.02928054665878301; 0.004770415522920073]], 0.0454683113754486, 
1591700423193, 4, EVALUATION, tools.descartes.librede.approach.WangKalmanFilterApproach, [[0.014058625648979823; 0.01842010670103193; 0.010702144355345944]], 0.14577155791460117, 
1591700423194, 6, EVALUATION, tools.descartes.librede.approach.ResponseTimeRegressionApproach, [[0.005030198269637504; 0.02091365717628605; 0.0030965293920719463]], 0.11359033047818305, 
1591700493216, 6, ESTIMATION, -,[[0.007607080473986098; 0.029260778327745714; 0.004616417853932234]], 0.04606663292644085, 
1591700493221, 4, EVALUATION, tools.descartes.librede.approach.ResponseTimeApproximationApproach, [[0.012451769880023434; 0.048916207252403275; 0.007512476008171111]], 0.9328178630322066, 
1591700493223, 6, EVALUATION, tools.descartes.librede.approach.ServiceDemandLawApproach, [[0.007607080473986098; 0.029260778327745714; 0.004616417853932234]], 0.04606663292644085, 
1591700493227, 5, EVALUATION, tools.descartes.librede.approach.UtilizationRegressionApproach, [[0.0024219505556315134; 0.031080865580366556; 0.008570220593759625]], 0.05014132669791159, 
1591700493229, 7, EVALUATION, tools.descartes.librede.approach.ResponseTimeRegressionApproach, [[0.005072306468317602; 0.020539024913523565; 0.003022345113907345]], 0.11573462632318472, 
1591700493232, 5, EVALUATION, tools.descartes.librede.approach.WangKalmanFilterApproach, [[0.013981353400279636; 0.019278735878802328; 0.009796986991914022]], 0.14410908674620693, 
1591700493233, 6, EVALUATION, tools.descartes.librede.approach.KumarKalmanFilterApproach, [[0.009556741509511172; 0.02563109618354864; 0.00669432656488232]], 0.07213707743460894, 
1591700563268, 20, ESTIMATION, -,[[0.007622150425490425; 0.02913300423444542; 0.004593084961914687]], 0.04552303521715258, 
1591700563269, 20, EVALUATION, tools.descartes.librede.approach.ResponseTimeApproximationApproach, [[0.01239409405521468; 0.04827862669897; 0.007432578678965008]], 0.9283321758558213, 
1591700563272, 23, EVALUATION, tools.descartes.librede.approach.ServiceDemandLawApproach, [[0.007622150425490425; 0.02913300423444542; 0.004593084961914687]], 0.04552303521715258, 
1591700563277, 23, EVALUATION, tools.descartes.librede.approach.UtilizationRegressionApproach, [[0.0; 0.03252900998279207; 0.009217296399556608]], 0.08916464205443263, 
1591700563279, 12, EVALUATION, tools.descartes.librede.approach.ResponseTimeRegressionApproach, [[0.0051207516560101175; 0.020509514318728578; 0.0030382898812065548]], 0.11371149913582562, 
1591700563281, 12, EVALUATION, tools.descartes.librede.approach.WangKalmanFilterApproach, [[0.013839566956296843; 0.01948000732095283; 0.009383605428426207]], 0.14271478246324612, 
1591700583305, 20, RECOMMENDATION, tools.descartes.librede.configuration.impl.EstimationApproachConfigurationImpl@4e3a6c83 (type: tools.descartes.librede.approach.WangKalmanFilterApproach), -,-,
1591700633304, 7, EVALUATION, tools.descartes.librede.approach.ResponseTimeApproximationApproach, [[0.01247426946731871; 0.04760522476404279; 0.007385968506719491]], 0.9248856996094401, 
1591700633306, 8, EVALUATION, tools.descartes.librede.approach.ResponseTimeRegressionApproach, [[0.005205094010988425; 0.02039865353674966; 0.003054883747852263]], 0.11293830789442713, 
1591700633309, 12, EVALUATION, tools.descartes.librede.approach.UtilizationRegressionApproach, [[0.0010902016617026645; 0.03191182504985509; 0.008818279940000173]], 0.07303823517446735, 
1591700633313, 9, EVALUATION, tools.descartes.librede.approach.WangKalmanFilterApproach, [[0.013661708975708686; 0.01961702501233524; 0.009061695054177232]], 0.14068356476906482, 
1591700633317, 13, EVALUATION, tools.descartes.librede.approach.KumarKalmanFilterApproach, [[0.009631480600224028; 0.025149180574570003; 0.0066817314060912065]], 0.07317429429441519, 
1591700634356, 1061, ESTIMATION, -,[[0.013661708975708686; 0.01961702501233524; 0.009061695054177232]], 0.14068356476906482, 
1591700703343, 10, EVALUATION, tools.descartes.librede.approach.ResponseTimeApproximationApproach, [[0.012549816722782232; 0.047848690379136916; 0.007336556826771226]], 0.9302232613465549, 
1591700703344, 12, ESTIMATION, -,[[0.013540022707022143; 0.01981356795251188; 0.008805044805008181]], 0.1391447610634098, 
1591700703347, 15, EVALUATION, tools.descartes.librede.approach.ServiceDemandLawApproach, [[0.007683345048548423; 0.02882936716389988; 0.004512075628134501]], 0.04583238130600088, 
1591700703357, 13, EVALUATION, tools.descartes.librede.approach.ResponseTimeRegressionApproach, [[0.005224019897626088; 0.02039378430967315; 0.0030278222643151955]], 0.11253993362607441, 
