Finish time,Time,Type,Selected Approach,Estimated Demand,Estimated Error,
1564752538686, 3699, ESTIMATION, -,[[0.0; 0.0; 0.0]], 1.7976931348623157E308, 
1564752538743, 3709, EVALUATION, tools.descartes.librede.approach.KumarKalmanFilterApproach, [[NaN; NaN; NaN]], 1.7976931348623157E308, 
1564752538974, 3942, EVALUATION, tools.descartes.librede.approach.WangKalmanFilterApproach, [[NaN; NaN; NaN]], 1.7976931348623157E308, 
1564752539089, 4065, EVALUATION, tools.descartes.librede.approach.ResponseTimeRegressionApproach, [[0.0; 0.0; 0.0]], 1.7976931348623157E308, 
1564752539215, 4213, EVALUATION, tools.descartes.librede.approach.ServiceDemandLawApproach, [[0.0; 0.0; 0.0]], 1.7976931348623157E308, 
1564752539312, 4304, EVALUATION, tools.descartes.librede.approach.ResponseTimeApproximationApproach, [[0.0; 0.0; 0.0]], 1.7976931348623157E308, 
1564752539426, 4415, EVALUATION, tools.descartes.librede.approach.UtilizationRegressionApproach, [[0.0; 0.0; 0.0]], 1.7976931348623157E308, 
1564752539428, 0, RECOMMENDATION, None., -,-,
1564752605475, 13, ESTIMATION, -,[[0.006878523505709671; 0.02697690766445558; 0.006650084882976873]], 0.0, 
1564752605480, 12, EVALUATION, tools.descartes.librede.approach.ResponseTimeApproximationApproach, [[0.014211255669546449; 0.05573517800369452; 0.013739293965881394]], 0.647810698003839, 
1564752605486, 23, EVALUATION, tools.descartes.librede.approach.ServiceDemandLawApproach, [[0.006878523505709671; 0.02697690766445558; 0.006650084882976873]], 0.0, 
1564752605494, 1, EVALUATION, tools.descartes.librede.approach.UtilizationRegressionApproach, [[0.0; 0.0; 0.0]], 0.6076836046794936, 
1564752605495, 14, EVALUATION, tools.descartes.librede.approach.KumarKalmanFilterApproach, Error when running evaluation estimation., Error when running evaluation estimation., 
1564752605496, 26, EVALUATION, tools.descartes.librede.approach.WangKalmanFilterApproach, [[0.012077546570187322; 0.011834633706948606; 0.012727445020080379]], 1.2783582303832475E-8, 
1564752605502, 6, EVALUATION, tools.descartes.librede.approach.ResponseTimeRegressionApproach, Error when running evaluation estimation., Error when running evaluation estimation., 
1564752654885, 115452, TRAINING, -,-,-,
1564752675532, 5, ESTIMATION, -,[[0.006370032483358256; 0.028865221607832274; 0.004858423952222175]], 0.011889648046116585, 
1564752675541, 3, EVALUATION, tools.descartes.librede.approach.WangKalmanFilterApproach, [[0.012769653352980973; 0.012785466756800319; 0.013310886071735884]], 0.0365500816628071, 
1564752675543, 10, EVALUATION, tools.descartes.librede.approach.ServiceDemandLawApproach, [[0.006370032483358256; 0.028865221607832274; 0.004858423952222175]], 0.011889648046116585, 
1564752675545, 2, EVALUATION, tools.descartes.librede.approach.ResponseTimeApproximationApproach, [[0.01392589161296472; 0.06365121792719936; 0.010438014261540304]], 0.7588276124698476, 
1564752675548, 14, EVALUATION, tools.descartes.librede.approach.UtilizationRegressionApproach, [[0.0; 0.028622216196338174; 0.010739055019774991]], 0.0, 
1564752677507, 1969, EVALUATION, tools.descartes.librede.approach.KumarKalmanFilterApproach, Error when running evaluation estimation., Error when running evaluation estimation., 
1564752677779, 2236, EVALUATION, tools.descartes.librede.approach.ResponseTimeRegressionApproach, Error when running evaluation estimation., Error when running evaluation estimation., 
1564752745820, 8, ESTIMATION, -,[[0.005540062720742458; 0.029172062621225014; 0.003886346654445256]], 0.033393287849812735, 
1564752745826, 6, EVALUATION, tools.descartes.librede.approach.ResponseTimeApproximationApproach, [[0.014142553147047607; 0.07973135683293224; 0.009390656604717345]], 1.1461143947145842, 
1564752745829, 6, EVALUATION, tools.descartes.librede.approach.WangKalmanFilterApproach, [[0.01362431206937227; 0.014102657432710096; 0.013333291647514713]], 0.053883346106562535, 
1564752745840, 8, EVALUATION, tools.descartes.librede.approach.UtilizationRegressionApproach, [[0.005184521642308321; 0.02630263216561049; 0.00836914047239349]], 1.1102230246251565E-16, 
1564752745843, 3, EVALUATION, tools.descartes.librede.approach.ServiceDemandLawApproach, [[0.005540062720742458; 0.029172062621225014; 0.003886346654445256]], 0.033393287849812735, 
1564752747606, 1775, EVALUATION, tools.descartes.librede.approach.ResponseTimeRegressionApproach, Error when running evaluation estimation., Error when running evaluation estimation., 
1564752747720, 1896, EVALUATION, tools.descartes.librede.approach.KumarKalmanFilterApproach, Error when running evaluation estimation., Error when running evaluation estimation., 
1564752815762, 12, EVALUATION, tools.descartes.librede.approach.ServiceDemandLawApproach, [[0.005219847011654499; 0.029206076464430183; 0.003514449121260593]], 0.035472221837311496, 
1564752815771, 13, EVALUATION, tools.descartes.librede.approach.UtilizationRegressionApproach, [[0.011509112627682345; 0.022123146674733616; 0.0065137605959435275]], 0.005084602395763332, 
1564752815772, 24, ESTIMATION, -,[[0.005219847011654499; 0.029206076464430183; 0.003514449121260593]], 0.035472221837311496, 
1564752815776, 11, EVALUATION, tools.descartes.librede.approach.ResponseTimeApproximationApproach, [[0.013923573363657578; 0.08262088365617395; 0.008910915169349975]], 1.260808462686773, 
1564752815780, 4, EVALUATION, tools.descartes.librede.approach.WangKalmanFilterApproach, [[0.01393682181028282; 0.014601402436492383; 0.013215057168674714]], 0.052989837902238185, 
1564752817412, 1645, EVALUATION, tools.descartes.librede.approach.ResponseTimeRegressionApproach, Error when running evaluation estimation., Error when running evaluation estimation., 
1564752817642, 1883, EVALUATION, tools.descartes.librede.approach.KumarKalmanFilterApproach, Error when running evaluation estimation., Error when running evaluation estimation., 
1564752847531, 1873, RECOMMENDATION, tools.descartes.librede.configuration.impl.EstimationApproachConfigurationImpl@4f1a5b93 (type: tools.descartes.librede.approach.UtilizationRegressionApproach), -,-,
1564752885678, 3, EVALUATION, tools.descartes.librede.approach.ResponseTimeApproximationApproach, [[0.013922013750380432; 0.08016947876438554; 0.008551809475356012]], 1.2053591578447835, 
1564752885679, 5, EVALUATION, tools.descartes.librede.approach.ServiceDemandLawApproach, [[0.005363003627349437; 0.02936745651368915; 0.0034185582243916406]], 0.03260109306109493, 
1564752885692, 5, EVALUATION, tools.descartes.librede.approach.UtilizationRegressionApproach, [[0.010366619711938791; 0.022799277971539907; 0.006876894059872393]], 0.004331965279498262, 
1564752885695, 4, EVALUATION, tools.descartes.librede.approach.WangKalmanFilterApproach, [[0.013924137277045423; 0.014826693864638732; 0.012847587467576355]], 0.04193504228874449, 
1564752887439, 1747, EVALUATION, tools.descartes.librede.approach.ResponseTimeRegressionApproach, Error when running evaluation estimation., Error when running evaluation estimation., 
1564752887450, 1758, EVALUATION, tools.descartes.librede.approach.KumarKalmanFilterApproach, Error when running evaluation estimation., Error when running evaluation estimation., 
1564752887609, 1938, ESTIMATION, -,[[0.010366619711938791; 0.022799277971539907; 0.006876894059872393]], 0.004331965279498262, 
1564752955479, 6, ESTIMATION, -,[[0.0054579362422192655; 0.02579453906375582; 0.008393951439003943]], 0.005284022512598947, 
1564752955484, 4, EVALUATION, tools.descartes.librede.approach.ResponseTimeApproximationApproach, [[0.013764518873707502; 0.07539201778037796; 0.00815903531440282]], 1.0991689020094977, 
1564752955492, 5, EVALUATION, tools.descartes.librede.approach.WangKalmanFilterApproach, [[0.01370888364717776; 0.01500099884990791; 0.01217816278233752]], 0.03661755328212785, 
1564752955493, 10, EVALUATION, tools.descartes.librede.approach.UtilizationRegressionApproach, [[0.0054579362422192655; 0.02579453906375582; 0.008393951439003943]], 0.005284022512598947, 
