Finish time,Time,Type,Selected Approach,Estimated Demand,Estimated Error,
1564588351597, 3951, EVALUATION, tools.descartes.librede.approach.UtilizationRegressionApproach, [[0.0; 0.0; 0.0]], 1.7976931348623157E308, 
1564588351602, 3948, EVALUATION, tools.descartes.librede.approach.WangKalmanFilterApproach, [[NaN; NaN; NaN]], 1.7976931348623157E308, 
1564588351696, 4071, ESTIMATION, -,[[0.0; 0.0; 0.0]], 1.7976931348623157E308, 
1564588351743, 4091, EVALUATION, tools.descartes.librede.approach.KumarKalmanFilterApproach, [[NaN; NaN; NaN]], 1.7976931348623157E308, 
1564588351783, 4130, EVALUATION, tools.descartes.librede.approach.ResponseTimeApproximationApproach, [[0.0; 0.0; 0.0]], 1.7976931348623157E308, 
1564588351848, 4194, EVALUATION, tools.descartes.librede.approach.ResponseTimeRegressionApproach, [[0.0; 0.0; 0.0]], 1.7976931348623157E308, 
1564588352017, 4387, EVALUATION, tools.descartes.librede.approach.ServiceDemandLawApproach, [[0.0; 0.0; 0.0]], 1.7976931348623157E308, 
1564588352019, 0, RECOMMENDATION, None., -,-,
1564588418176, 1, EVALUATION, tools.descartes.librede.approach.ServiceDemandLawApproach, [[0.006878523505709671; 0.02697690766445558; 0.006650084882976873]], 0.5159805955465441, 
1564588418180, 1, ESTIMATION, -,[[0.006878523505709671; 0.02697690766445558; 0.006650084882976873]], 0.5159805955465441, 
1564588418193, 3, EVALUATION, tools.descartes.librede.approach.KumarKalmanFilterApproach, [[0.01335609267363546; 0.052381310976911746; 0.012912531288270664]], 0.06017504827131726, 
1564588418197, 2, EVALUATION, tools.descartes.librede.approach.ResponseTimeRegressionApproach, [[0.0; 0.0; 0.0]], 1.0, 
1564588418200, 1, EVALUATION, tools.descartes.librede.approach.WangKalmanFilterApproach, Error when running evaluation estimation., Error when running evaluation estimation., 
1564588418202, 1, EVALUATION, tools.descartes.librede.approach.ResponseTimeApproximationApproach, [[0.014211255669546449; 0.05573517800369452; 0.013739293965881394]], 0.0, 
1564588488533, 2, EVALUATION, tools.descartes.librede.approach.ResponseTimeRegressionApproach, [[0.013925891612964718; 0.06365121792719934; 0.010438014261540311]], 0.02050022656024454, 
1564588488535, 1, EVALUATION, tools.descartes.librede.approach.UtilizationRegressionApproach, [[0.0; 0.028622216196338174; 0.010739055019774991]], 1.0, 
1564588488569, 1, EVALUATION, tools.descartes.librede.approach.ResponseTimeApproximationApproach, [[0.01392589161296472; 0.06365121792719936; 0.010438014261540304]], 0.020500226560244545, 
1564588488575, 2, EVALUATION, tools.descartes.librede.approach.ServiceDemandLawApproach, [[0.006370032483358256; 0.028865221607832274; 0.004858423952222175]], 0.5423841717516337, 
1564588488581, 56, ESTIMATION, -,[[0.006370032483358256; 0.028865221607832274; 0.004858423952222175]], 0.5423841717516337, 
1564588492711, 4175, EVALUATION, tools.descartes.librede.approach.WangKalmanFilterApproach, Error when running evaluation estimation., Error when running evaluation estimation., 
1564588557908, 2, ESTIMATION, -,[[0.005540062720742458; 0.029172062621225014; 0.003886346654445256]], 0.6079773752845644, 
1564588557926, 2, EVALUATION, tools.descartes.librede.approach.ResponseTimeApproximationApproach, [[0.014142553147047607; 0.07973135683293224; 0.009390656604717345]], 0.023789043018703007, 
1564588557928, 2, EVALUATION, tools.descartes.librede.approach.ServiceDemandLawApproach, [[0.005540062720742458; 0.029172062621225014; 0.003886346654445256]], 0.6079773752845644, 
1564588557941, 17, EVALUATION, tools.descartes.librede.approach.ResponseTimeRegressionApproach, [[0.014142553147047605; 0.07973135683293224; 0.009390656604717343]], 0.023789043018703045, 
1564588557951, 27, EVALUATION, tools.descartes.librede.approach.UtilizationRegressionApproach, [[0.005184521642308321; 0.02630263216561049; 0.00836914047239349]], 0.6331359617099591, 
1564588557960, 49, EVALUATION, tools.descartes.librede.approach.KumarKalmanFilterApproach, [[0.013294260403386505; 0.07397787192322569; 0.008998757663223021]], 0.059279448683278314, 
1564588561413, 3507, EVALUATION, tools.descartes.librede.approach.WangKalmanFilterApproach, Error when running evaluation estimation., Error when running evaluation estimation., 
1564588586989, 234967, TRAINING, -,-,-,
1564588628554, 2, ESTIMATION, -,[[0.005219847011654499; 0.029206076464430183; 0.003514449121260593]], 0.6246130233657995, 
1564588628565, 2, EVALUATION, tools.descartes.librede.approach.ServiceDemandLawApproach, [[0.005219847011654499; 0.029206076464430183; 0.003514449121260593]], 0.6246130233657995, 
1564588628571, 3, EVALUATION, tools.descartes.librede.approach.KumarKalmanFilterApproach, [[0.013097178598335478; 0.07657844606414323; 0.008566990371392387]], 0.05811218882659211, 
1564588628574, 2, EVALUATION, tools.descartes.librede.approach.UtilizationRegressionApproach, [[0.011509112627682345; 0.022123146674733616; 0.0065137605959435275]], 0.17231846385498265, 
