Finish time,Time,Type,Selected Approach,Estimated Demand,Estimated Error,
1581518127313, 1869, EVALUATION, tools.descartes.librede.approach.UtilizationRegressionApproach, Error when running evaluation estimation., Error when running evaluation estimation., 
1581518127317, 1874, EVALUATION, tools.descartes.librede.approach.ResponseTimeApproximationApproach, Error when running evaluation estimation., Error when running evaluation estimation., 
1581518127321, 1870, EVALUATION, tools.descartes.librede.approach.WangKalmanFilterApproach, Error when running evaluation estimation., Error when running evaluation estimation., 
1581518127355, 1914, EVALUATION, tools.descartes.librede.approach.ServiceDemandLawApproach, Error when running evaluation estimation., Error when running evaluation estimation., 
1581518127391, 1945, EVALUATION, tools.descartes.librede.approach.ResponseTimeRegressionApproach, Error when running evaluation estimation., Error when running evaluation estimation., 
1581518127396, 1949, EVALUATION, tools.descartes.librede.approach.KumarKalmanFilterApproach, Error when running evaluation estimation., Error when running evaluation estimation., 
1581518127399, 0, RECOMMENDATION, None., -,-,
1581518195481, 5, EVALUATION, tools.descartes.librede.approach.ResponseTimeApproximationApproach, [[0.012403028943683411; 0.039980447975095805; 0.010486610652910056]], 0.19594730788697862, 
1581518195486, 4, EVALUATION, tools.descartes.librede.approach.ServiceDemandLawApproach, [[0.008552739279654706; 0.027569261457616536; 0.007231237405703717]], 0.01277785923927857, 
1581518195501, 5, EVALUATION, tools.descartes.librede.approach.UtilizationRegressionApproach, [[0.0; 0.0; 0.0]], 0.2752522017830424, 
1581518195504, 32, ESTIMATION, -,[[0.008552739279654706; 0.027569261457616536; 0.007231237405703717]], 0.01277785923927857, 
1581518195514, 8, EVALUATION, tools.descartes.librede.approach.ResponseTimeRegressionApproach, [[0.0; 0.0; 0.0]], 0.2752522017830424, 
1581518195515, 13, EVALUATION, tools.descartes.librede.approach.KumarKalmanFilterApproach, [[0.009031146099836905; 0.023823340340048075; 0.008926465972110827]], 0.016621923446101725, 
1581518195518, 6, EVALUATION, tools.descartes.librede.approach.WangKalmanFilterApproach, [[0.012825982992295887; 0.013092759182641404; 0.01225686045289212]], 0.04492012058385209, 
1581518203301, 75900, TRAINING, -,-,-,
1581518265572, 9, ESTIMATION, -,[[0.00806423175541171; 0.028876092217007036; 0.005778263845905719]], 0.019813672245838798, 
1581518265582, 8, EVALUATION, tools.descartes.librede.approach.ServiceDemandLawApproach, [[0.00806423175541171; 0.028876092217007036; 0.005778263845905719]], 0.019813672245838798, 
1581518265590, 10, EVALUATION, tools.descartes.librede.approach.ResponseTimeApproximationApproach, [[0.012556290451529215; 0.04530868966479963; 0.008871506403554259]], 0.3767624208674101, 
1581518265597, 9, EVALUATION, tools.descartes.librede.approach.UtilizationRegressionApproach, [[0.0; 0.030174912542436916; 0.011738115543753355]], 0.05045676828837884, 
1581518265598, 10, EVALUATION, tools.descartes.librede.approach.ResponseTimeRegressionApproach, [[0.006048059159408268; 0.022094125347260764; 0.004175732364607886]], 0.07575433442653562, 
1581518265602, 22, EVALUATION, tools.descartes.librede.approach.KumarKalmanFilterApproach, [[0.009092523668993411; 0.025400189503964977; 0.007892790852667404]], 0.026909454097525487, 
1581518265603, 20, EVALUATION, tools.descartes.librede.approach.WangKalmanFilterApproach, [[0.013992202164613804; 0.01527064054373936; 0.013004864621703012]], 0.08618178969238957, 
1581518296788, 1173, RECOMMENDATION, None., -,-,
1581518335640, 8, EVALUATION, tools.descartes.librede.approach.ServiceDemandLawApproach, [[0.008420864402377036; 0.028628303998827615; 0.0054462083305402975]], 0.020964448970676876, 
1581518335641, 12, ESTIMATION, -,[[0.008420864402377036; 0.028628303998827615; 0.0054462083305402975]], 0.020964448970676876, 
1581518335643, 8, EVALUATION, tools.descartes.librede.approach.ResponseTimeApproximationApproach, [[0.012784853039244112; 0.04380070136011668; 0.008225246627821066]], 0.3152174746807347, 
1581518335645, 8, EVALUATION, tools.descartes.librede.approach.UtilizationRegressionApproach, [[0.0; 0.030158685419147242; 0.011634161808752194]], 0.05315977302499229, 
1581518335653, 12, EVALUATION, tools.descartes.librede.approach.WangKalmanFilterApproach, [[0.013579945548376424; 0.015726299057786334; 0.01231257372770204]], 0.07615391467613988, 
1581518335654, 12, EVALUATION, tools.descartes.librede.approach.ResponseTimeRegressionApproach, [[0.006270639220625199; 0.02170525547389185; 0.0039794208173235925]], 0.07542537105237668, 
1581518335662, 18, EVALUATION, tools.descartes.librede.approach.KumarKalmanFilterApproach, [[0.00944236638631357; 0.024898267381216588; 0.007611060487726445]], 0.029791502581814698, 
1581518405700, 8, EVALUATION, tools.descartes.librede.approach.ServiceDemandLawApproach, [[0.007766150831611987; 0.02942456044444945; 0.004912331527337067]], 0.026444132822469376, 
1581518405709, 7, EVALUATION, tools.descartes.librede.approach.ResponseTimeApproximationApproach, [[0.012641198541121397; 0.04958818358450884; 0.007910764008806179]], 0.5751634590205659, 
1581518405712, 10, EVALUATION, tools.descartes.librede.approach.UtilizationRegressionApproach, [[0.008193621445501589; 0.02892625355525017; 0.0059295806489106945]], 0.03160061679655604, 
1581518405719, 29, ESTIMATION, -,[[0.007766150831611987; 0.02942456044444945; 0.004912331527337067]], 0.026444132822469376, 
1581518405723, 10, EVALUATION, tools.descartes.librede.approach.ResponseTimeRegressionApproach, [[0.00521610107252129; 0.02154367645791666; 0.0031997657609151723]], 0.0988878268984887, 
1581518405724, 13, EVALUATION, tools.descartes.librede.approach.WangKalmanFilterApproach, [[0.014071636200918836; 0.017600543701287295; 0.011415207975496172]], 0.10046608865258723, 
1581518405732, 20, EVALUATION, tools.descartes.librede.approach.KumarKalmanFilterApproach, [[0.009357877137368312; 0.02588059062065038; 0.006887981470700572]], 0.04307281712713007, 
1581518465803, 26, RECOMMENDATION, tools.descartes.librede.configuration.impl.EstimationApproachConfigurationImpl@78b44fcb (type: tools.descartes.librede.approach.KumarKalmanFilterApproach), -,-,
1581518475800, 13, EVALUATION, tools.descartes.librede.approach.ResponseTimeApproximationApproach, [[0.012479597397866062; 0.04974857225773991; 0.0078041794593014776]], 0.6412071561712818, 
1581518475812, 26, EVALUATION, tools.descartes.librede.approach.ServiceDemandLawApproach, [[0.007561064849891046; 0.02928054665878301; 0.004770415522920073]], 0.033312479522298585, 
1581518475815, 11, EVALUATION, tools.descartes.librede.approach.ResponseTimeRegressionApproach, [[0.005030198269637504; 0.02091365717628605; 0.0030965293920719463]], 0.10469169849405154, 
1581518475825, 9, EVALUATION, tools.descartes.librede.approach.KumarKalmanFilterApproach, [[0.009421522379919089; 0.02586135079342472; 0.006611863318825473]], 0.048666396040719845, 
