Finish time,Time,Type,Selected Approach,Estimated Demand,Estimated Error,
1563795887098, 4339, ESTIMATION, -,[[0.0; 0.0; 0.0]], 1.7976931348623157E308, 
1563795887297, 4528, EVALUATION, tools.descartes.librede.approach.ServiceDemandLawApproach, [[0.0; 0.0; 0.0]], 1.7976931348623157E308, 
1563795887318, 4511, EVALUATION, tools.descartes.librede.approach.KumarKalmanFilterApproach, [[NaN; NaN; NaN]], 1.7976931348623157E308, 
1563795887462, 4685, EVALUATION, tools.descartes.librede.approach.ResponseTimeRegressionApproach, [[0.0; 0.0; 0.0]], 1.7976931348623157E308, 
1563795887578, 4795, EVALUATION, tools.descartes.librede.approach.UtilizationRegressionApproach, [[0.0; 0.0; 0.0]], 1.7976931348623157E308, 
1563795887596, 4821, EVALUATION, tools.descartes.librede.approach.ResponseTimeApproximationApproach, [[0.0; 0.0; 0.0]], 1.7976931348623157E308, 
1563795887599, 4796, EVALUATION, tools.descartes.librede.approach.WangKalmanFilterApproach, [[NaN; NaN; NaN]], 1.7976931348623157E308, 
1563795887603, 0, RECOMMENDATION, None., -,-,
1563795953714, 1, ESTIMATION, -,[[0.006878523505709671; 0.02697690766445558; 0.006650084882976873]], 0.0, 
1563795953716, 0, EVALUATION, tools.descartes.librede.approach.UtilizationRegressionApproach, [[0.0; 0.0; 0.0]], 0.6076836046794936, 
1563795953717, 1, EVALUATION, tools.descartes.librede.approach.ResponseTimeApproximationApproach, [[0.014211255669546449; 0.05573517800369452; 0.013739293965881394]], 0.647810698003839, 
1563795953718, 2, EVALUATION, tools.descartes.librede.approach.ResponseTimeRegressionApproach, [[0.0; 0.0; 0.0]], 0.6076836046794936, 
1563795953719, 2, EVALUATION, tools.descartes.librede.approach.KumarKalmanFilterApproach, [[0.007668784568764889; 0.023701575917261224; 0.00817316160603948]], 8.813364707102034E-4, 
1563795953766, 0, EVALUATION, tools.descartes.librede.approach.ServiceDemandLawApproach, [[0.006878523505709671; 0.02697690766445558; 0.006650084882976873]], 0.0, 
1563796023237, 1, EVALUATION, tools.descartes.librede.approach.ServiceDemandLawApproach, [[0.006370032483358256; 0.028865221607832274; 0.004858423952222175]], 0.011889648046116585, 
1563796023239, 2, EVALUATION, tools.descartes.librede.approach.ResponseTimeRegressionApproach, [[0.0047510897126383945; 0.0220831018226333; 0.003438161701152722]], 0.16499074813306502, 
1563796023240, 1, EVALUATION, tools.descartes.librede.approach.WangKalmanFilterApproach, [[0.012769653352980973; 0.012785466756800319; 0.013310886071735884]], 0.0365500816628071, 
1563796093373, 2, ESTIMATION, -,[[0.005540062720742458; 0.029172062621225014; 0.003886346654445256]], 0.033393287849812735, 
1563796093374, 1, EVALUATION, tools.descartes.librede.approach.UtilizationRegressionApproach, [[0.005184521642308321; 0.02630263216561049; 0.00836914047239349]], 1.1102230246251565E-16, 
1563796093375, 2, EVALUATION, tools.descartes.librede.approach.ResponseTimeRegressionApproach, [[0.0036390216685301875; 0.022179093850982743; 0.002245540998567891]], 0.19662252456422225, 
1563796093376, 2, EVALUATION, tools.descartes.librede.approach.KumarKalmanFilterApproach, [[0.00730493125665298; 0.025648713176413863; 0.005830681458827415]], 0.016916550881221126, 
1563796094952, 207341, TRAINING, -,-,-,
1563796163458, 3, EVALUATION, tools.descartes.librede.approach.ResponseTimeApproximationApproach, [[0.013923573363657578; 0.08262088365617395; 0.008910915169349975]], 1.260808462686773, 
