Finish time,Time,Type,Selected Approach,Estimated Demand,Estimated Error,
1563881406762, 4892, ESTIMATION, -,[[0.0; 0.0; 0.0]], 1.7976931348623157E308, 
1563881407087, 5172, EVALUATION, tools.descartes.librede.approach.ResponseTimeApproximationApproach, [[0.0; 0.0; 0.0]], 1.7976931348623157E308, 
1563881407127, 5251, EVALUATION, tools.descartes.librede.approach.ServiceDemandLawApproach, [[0.0; 0.0; 0.0]], 1.7976931348623157E308, 
1563881407300, 5382, EVALUATION, tools.descartes.librede.approach.KumarKalmanFilterApproach, [[NaN; NaN; NaN]], 1.7976931348623157E308, 
1563881407406, 5522, EVALUATION, tools.descartes.librede.approach.ResponseTimeRegressionApproach, [[0.0; 0.0; 0.0]], 1.7976931348623157E308, 
1563881407411, 5503, EVALUATION, tools.descartes.librede.approach.UtilizationRegressionApproach, [[0.0; 0.0; 0.0]], 1.7976931348623157E308, 
1563881407551, 5644, EVALUATION, tools.descartes.librede.approach.WangKalmanFilterApproach, [[NaN; NaN; NaN]], 1.7976931348623157E308, 
1563881407554, 0, RECOMMENDATION, None., -,-,
1563881472632, 1, EVALUATION, tools.descartes.librede.approach.UtilizationRegressionApproach, [[0.0; 0.0; 0.0]], 1.0, 
1563881472635, 16, EVALUATION, tools.descartes.librede.approach.ResponseTimeApproximationApproach, [[0.014211255669546449; 0.05573517800369452; 0.013739293965881394]], 4.913981601536652, 
1563881472637, 2, EVALUATION, tools.descartes.librede.approach.ServiceDemandLawApproach, [[0.006878523505709671; 0.02697690766445558; 0.006650084882976873]], 0.23374758288659325, 
1563881472641, 19, ESTIMATION, -,[[0.006878523505709671; 0.02697690766445558; 0.006650084882976873]], 0.23374758288659325, 
1563881472642, 3, EVALUATION, tools.descartes.librede.approach.ResponseTimeRegressionApproach, [[0.0; 0.0; 0.0]], 1.0, 
1563881472644, 3, EVALUATION, tools.descartes.librede.approach.KumarKalmanFilterApproach, [[0.007668784568764889; 0.023701575917261224; 0.00817316160603948]], 0.3724074948533476, 
1563881472645, 3, EVALUATION, tools.descartes.librede.approach.WangKalmanFilterApproach, [[0.012077546570187322; 0.011834633706948606; 0.012727445020080379]], 1.1662560853742228, 
1563881542699, 2, ESTIMATION, -,[[0.006370032483358256; 0.028865221607832274; 0.004858423952222175]], 0.3085298712021204, 
1563881542701, 2, EVALUATION, tools.descartes.librede.approach.ServiceDemandLawApproach, [[0.006370032483358256; 0.028865221607832274; 0.004858423952222175]], 0.3085298712021204, 
1563881542703, 2, EVALUATION, tools.descartes.librede.approach.ResponseTimeApproximationApproach, [[0.01392589161296472; 0.06365121792719936; 0.010438014261540304]], 3.6601184568101157, 
1563881542704, 2, EVALUATION, tools.descartes.librede.approach.UtilizationRegressionApproach, [[0.0; 0.028622216196338174; 0.010739055019774991]], 1.0, 
1563881542705, 2, EVALUATION, tools.descartes.librede.approach.ResponseTimeRegressionApproach, [[0.0047510897126383945; 0.0220831018226333; 0.003438161701152722]], 0.333778803623197, 
1563881542708, 4, EVALUATION, tools.descartes.librede.approach.KumarKalmanFilterApproach, [[0.0077019201692863585; 0.024943155847540182; 0.007082288940590857]], 0.57125959249832, 
1563881542715, 9, EVALUATION, tools.descartes.librede.approach.WangKalmanFilterApproach, [[0.012769653352980973; 0.012785466756800319; 0.013310886071735884]], 1.6040760126986715, 
1563881612803, 2, ESTIMATION, -,[[0.005540062720742458; 0.029172062621225014; 0.003886346654445256]], 0.5473447004679491, 
1563881612804, 2, EVALUATION, tools.descartes.librede.approach.ServiceDemandLawApproach, [[0.005540062720742458; 0.029172062621225014; 0.003886346654445256]], 0.5473447004679491, 
1563881612805, 2, EVALUATION, tools.descartes.librede.approach.ResponseTimeApproximationApproach, [[0.014142553147047607; 0.07973135683293224; 0.009390656604717345]], 2.3699489320641107, 
1563881612809, 2, EVALUATION, tools.descartes.librede.approach.WangKalmanFilterApproach, [[0.01362431206937227; 0.014102657432710096; 0.013333291647514713]], 2.116536853097156, 
1563881612811, 5, EVALUATION, tools.descartes.librede.approach.KumarKalmanFilterApproach, [[0.00730493125665298; 0.025648713176413863; 0.005830681458827415]], 0.7806067045964545, 
1563881639035, 231479, TRAINING, -,-,-,
1563881681953, 2, EVALUATION, tools.descartes.librede.approach.ResponseTimeApproximationApproach, [[0.013923573363657578; 0.08262088365617395; 0.008910915169349975]], 2.170732532549925, 
1563881681954, 3, EVALUATION, tools.descartes.librede.approach.ServiceDemandLawApproach, [[0.005219847011654499; 0.029206076464430183; 0.003514449121260593]], 0.6050451167531412, 
1563881681956, 2, EVALUATION, tools.descartes.librede.approach.UtilizationRegressionApproach, [[0.011509112627682345; 0.022123146674733616; 0.0065137605959435275]], 2.1822988619305814, 
1563881681958, 4, EVALUATION, tools.descartes.librede.approach.ResponseTimeRegressionApproach, [[0.003397962109648258; 0.02146534396591833; 0.002045026855397411]], 0.4894954903338635, 
1563881681959, 3, EVALUATION, tools.descartes.librede.approach.WangKalmanFilterApproach, [[0.01393682181028282; 0.014601402436492383; 0.013215057168674714]], 2.480921856507342, 
1563881715188, 3163, RECOMMENDATION, tools.descartes.librede.configuration.impl.EstimationApproachConfigurationImpl@3c60c681 (type: tools.descartes.librede.approach.ResponseTimeRegressionApproach), -,-,
1563881752181, 3, EVALUATION, tools.descartes.librede.approach.ServiceDemandLawApproach, [[0.005363003627349437; 0.02936745651368915; 0.0034185582243916406]], 0.6065571229521187, 
1563881752182, 3, EVALUATION, tools.descartes.librede.approach.UtilizationRegressionApproach, [[0.010366619711938791; 0.022799277971539907; 0.006876894059872393]], 1.8495966784978364, 
1563881752186, 4, EVALUATION, tools.descartes.librede.approach.ResponseTimeRegressionApproach, [[0.0034571696563289265; 0.02098731210677506; 0.002019481518702105]], 0.49362009171729965, 
1563881752188, 6, EVALUATION, tools.descartes.librede.approach.KumarKalmanFilterApproach, [[0.007579155237609043; 0.025408971510324535; 0.0057074627788500564]], 1.0191273495370736, 
1563881754940, 2762, ESTIMATION, -,[[0.0034571696563289265; 0.02098731210677506; 0.002019481518702105]], 0.49362009171729965, 
1563881822251, 3, EVALUATION, tools.descartes.librede.approach.ResponseTimeApproximationApproach, [[0.013764518873707502; 0.07539201778037796; 0.00815903531440282]], 2.3490917299792016, 
1563881822252, 5, ESTIMATION, -,[[0.0035282701876357776; 0.020197204222654808; 0.0020160003800625353]], 0.49752460207108956, 
1563881822254, 3, EVALUATION, tools.descartes.librede.approach.UtilizationRegressionApproach, [[0.0054579362422192655; 0.02579453906375582; 0.008393951439003943]], 0.4942495828704741, 
1563881822258, 5, EVALUATION, tools.descartes.librede.approach.WangKalmanFilterApproach, [[0.01370888364717776; 0.01500099884990791; 0.01217816278233752]], 2.564236429590966, 
1563881822263, 5, EVALUATION, tools.descartes.librede.approach.ResponseTimeRegressionApproach, [[0.0035282701876357776; 0.020197204222654808; 0.0020160003800625353]], 0.49752460207108956, 
1563881892399, 13, ESTIMATION, -,[[0.0035000801724819207; 0.019931927541817204; 0.0019807195532297647]], 0.502263166672909, 
1563881892404, 9, EVALUATION, tools.descartes.librede.approach.ResponseTimeApproximationApproach, [[0.013726746046643349; 0.07522000154211868; 0.008030377362092264]], 2.3203441213561016, 
1563881892408, 21, EVALUATION, tools.descartes.librede.approach.ServiceDemandLawApproach, [[0.005552508096838515; 0.02927982076702441; 0.0033143200121325523]], 0.6134713042948459, 
1563881892414, 5, EVALUATION, tools.descartes.librede.approach.ResponseTimeRegressionApproach, [[0.0035000801724819207; 0.019931927541817204; 0.0019807195532297647]], 0.502263166672909, 
1563881892418, 9, EVALUATION, tools.descartes.librede.approach.UtilizationRegressionApproach, [[0.006070906197311218; 0.02530328889656923; 0.008080629452704416]], 0.6782315344009378, 
1563881892421, 13, EVALUATION, tools.descartes.librede.approach.WangKalmanFilterApproach, [[0.01366523671732636; 0.015100614108101488; 0.011991468432388113]], 2.6317522014358583, 
1563881892423, 14, EVALUATION, tools.descartes.librede.approach.KumarKalmanFilterApproach, [[0.008084931934699259; 0.02458565643958948; 0.005907826016520473]], 1.1566523073266237, 
1563881916033, 508472, OPTIMIZATION, -,-,-,
1563881962485, 11, EVALUATION, tools.descartes.librede.approach.ResponseTimeApproximationApproach, [[0.01383610623878186; 0.07448316810307369; 0.007936318437531016]], 2.3268778681838618, 
1563881962487, 15, ESTIMATION, -,[[0.0035220212251725904; 0.019606959681021413; 0.001959326287193166]], 0.5087102366287937, 
1563881962493, 11, EVALUATION, tools.descartes.librede.approach.UtilizationRegressionApproach, [[0.0060308431171758655; 0.025328348444008504; 0.008091694259543722]], 0.6637539894540547, 
1563881962496, 9, EVALUATION, tools.descartes.librede.approach.WangKalmanFilterApproach, [[0.013598149057661959; 0.015171675338557797; 0.011828932025101858]], 2.6345068508917526, 
1563881962505, 31, EVALUATION, tools.descartes.librede.approach.ServiceDemandLawApproach, [[0.0056347344034942595; 0.029286324833937543; 0.0032874901691133693]], 0.6222019854735783, 
1563881962506, 20, EVALUATION, tools.descartes.librede.approach.ResponseTimeRegressionApproach, [[0.0035220212251725904; 0.019606959681021413; 0.001959326287193166]], 0.5087102366287937, 
1563882024257, 1728, RECOMMENDATION, tools.descartes.librede.configuration.impl.EstimationApproachConfigurationImpl@3c60c681 (type: tools.descartes.librede.approach.ResponseTimeRegressionApproach), -,-,
1563882032542, 8, EVALUATION, tools.descartes.librede.approach.ResponseTimeApproximationApproach, [[0.013838119279295995; 0.07369812848295199; 0.007856002033600923]], 2.341805103244586, 
1563882032546, 9, EVALUATION, tools.descartes.librede.approach.UtilizationRegressionApproach, [[0.005283218883066714; 0.025779098170714554; 0.008375336309637306]], 0.4672407201271733, 
1563882032548, 16, ESTIMATION, -,[[0.003539795399564438; 0.019442122187217487; 0.00195477048855388]], 0.5091944607755351, 
1563882032551, 18, EVALUATION, tools.descartes.librede.approach.ServiceDemandLawApproach, [[0.005672092773273623; 0.029247011433676584; 0.0032680477972279244]], 0.6196088772469786, 
1563882032552, 10, EVALUATION, tools.descartes.librede.approach.KumarKalmanFilterApproach, [[0.008365322225817904; 0.024182556545627974; 0.00593808552080065]], 1.2185466943864305, 
1563882032554, 12, EVALUATION, tools.descartes.librede.approach.WangKalmanFilterApproach, [[0.01344239785240152; 0.015201231877334503; 0.011696194695190999]], 2.6188892006581304, 
1563882032558, 21, EVALUATION, tools.descartes.librede.approach.ResponseTimeRegressionApproach, [[0.003539795399564438; 0.019442122187217487; 0.00195477048855388]], 0.5091944607755351, 
1563882102598, 11, EVALUATION, tools.descartes.librede.approach.ResponseTimeApproximationApproach, [[0.0138420718173449; 0.07154761781102487; 0.007786661168745734]], 2.4745692081994077, 
