Timestamp;WC0;WC1;WC2
1370013395000;0.0;0.0;0.0
1370013396000;3.0;4.0;3.0
1370013397000;2.0;1.0;3.0
1370013398000;5.0;3.0;3.0
1370013399000;4.0;4.0;5.0
1370013400000;6.0;1.0;4.0
1370013401000;3.0;2.0;2.0
1370013402000;3.0;2.0;2.0
1370013403000;4.0;2.0;1.0
1370013404000;2.0;3.0;0.0
1370013405000;2.0;3.0;2.0
1370013406000;3.0;3.0;3.0
1370013407000;4.0;4.0;4.0
1370013408000;3.0;6.0;2.0
1370013409000;3.0;4.0;5.0
1370013410000;2.0;2.0;0.0
1370013411000;1.0;4.0;4.0
1370013412000;0.0;3.0;2.0
1370013413000;1.0;3.0;0.0
1370013414000;4.0;2.0;2.0
1370013415000;2.0;0.0;1.0
1370013416000;1.0;2.0;2.0
1370013417000;3.0;2.0;3.0
1370013418000;2.0;1.0;3.0
1370013419000;5.0;4.0;3.0
1370013420000;3.0;2.0;2.0
1370013421000;2.0;0.0;2.0
1370013422000;4.0;6.0;1.0
1370013423000;2.0;2.0;1.0
1370013424000;1.0;4.0;1.0
1370013425000;1.0;5.0;2.0
1370013426000;5.0;6.0;4.0
1370013427000;1.0;2.0;2.0
1370013428000;3.0;3.0;2.0
1370013429000;0.0;2.0;6.0
1370013430000;4.0;5.0;0.0
1370013431000;2.0;4.0;5.0
1370013432000;0.0;2.0;3.0
1370013433000;1.0;1.0;2.0
1370013434000;4.0;3.0;1.0
1370013435000;2.0;0.0;2.0
1370013436000;0.0;3.0;0.0
1370013437000;3.0;2.0;8.0
1370013438000;1.0;2.0;1.0
1370013439000;2.0;3.0;4.0
1370013440000;1.0;1.0;0.0
1370013441000;2.0;0.0;5.0
1370013442000;1.0;2.0;1.0
1370013443000;4.0;3.0;5.0
1370013444000;1.0;2.0;4.0
1370013445000;4.0;2.0;1.0
1370013446000;2.0;1.0;4.0
1370013447000;4.0;2.0;3.0
1370013448000;1.0;1.0;6.0
1370013449000;4.0;3.0;2.0
1370013450000;5.0;3.0;2.0
1370013451000;3.0;3.0;2.0
1370013452000;5.0;2.0;2.0
1370013453000;3.0;3.0;2.0
1370013454000;3.0;2.0;3.0
1370013455000;2.0;5.0;1.0
1370013456000;2.0;3.0;0.0
1370013457000;5.0;9.0;4.0
1370013458000;4.0;5.0;3.0
1370013459000;0.0;5.0;0.0
1370013460000;1.0;0.0;3.0
1370013461000;5.0;3.0;4.0
1370013462000;1.0;7.0;2.0
1370013463000;1.0;1.0;3.0
1370013464000;4.0;2.0;0.0
1370013465000;1.0;1.0;2.0
1370013466000;4.0;3.0;3.0
1370013467000;4.0;1.0;1.0
1370013468000;2.0;1.0;4.0
1370013469000;0.0;4.0;4.0
1370013470000;3.0;2.0;3.0
1370013471000;1.0;4.0;4.0
1370013472000;2.0;3.0;2.0
1370013473000;4.0;3.0;3.0
1370013474000;1.0;4.0;2.0
1370013475000;1.0;3.0;1.0
1370013476000;4.0;2.0;3.0
1370013477000;3.0;3.0;1.0
1370013478000;3.0;3.0;5.0
1370013479000;7.0;3.0;3.0
1370013480000;3.0;3.0;2.0
1370013481000;2.0;3.0;3.0
1370013482000;1.0;3.0;1.0
1370013483000;1.0;1.0;5.0
1370013484000;3.0;2.0;2.0
1370013485000;6.0;3.0;1.0
1370013486000;4.0;2.0;1.0
1370013487000;6.0;4.0;1.0
1370013488000;5.0;2.0;6.0
1370013489000;2.0;3.0;3.0
1370013490000;2.0;4.0;2.0
1370013491000;3.0;4.0;6.0
1370013492000;4.0;1.0;2.0
1370013493000;6.0;1.0;3.0
1370013494000;4.0;3.0;0.0
1370013495000;5.0;4.0;1.0
1370013496000;4.0;3.0;2.0
1370013497000;2.0;4.0;4.0
1370013498000;2.0;2.0;2.0
1370013499000;2.0;4.0;2.0
1370013500000;1.0;4.0;2.0
1370013501000;1.0;3.0;6.0
1370013502000;3.0;2.0;1.0
1370013503000;2.0;2.0;3.0
1370013504000;2.0;3.0;2.0
1370013505000;2.0;2.0;0.0
1370013506000;0.0;3.0;1.0
1370013507000;2.0;2.0;3.0
1370013508000;4.0;1.0;3.0
