Timestamp;WC0;WC1;WC2
1370146532000;5.0;4.0;4.0
1370146533000;5.0;0.0;4.0
1370146534000;7.0;5.0;3.0
1370146535000;5.0;3.0;3.0
1370146536000;2.0;5.0;3.0
1370146537000;5.0;1.0;4.0
1370146538000;0.0;4.0;4.0
1370146539000;4.0;6.0;4.0
1370146540000;6.0;5.0;2.0
1370146541000;2.0;3.0;4.0
1370146542000;4.0;5.0;4.0
1370146543000;2.0;3.0;3.0
1370146544000;2.0;2.0;5.0
1370146545000;5.0;4.0;2.0
1370146546000;2.0;2.0;4.0
1370146547000;3.0;1.0;2.0
1370146548000;3.0;3.0;7.0
1370146549000;3.0;6.0;4.0
1370146550000;9.0;4.0;3.0
1370146551000;2.0;4.0;4.0
1370146552000;5.0;3.0;4.0
1370146553000;7.0;1.0;3.0
1370146554000;3.0;2.0;2.0
1370146555000;3.0;3.0;1.0
1370146556000;9.0;4.0;3.0
1370146557000;3.0;3.0;4.0
1370146558000;1.0;1.0;4.0
1370146559000;5.0;4.0;3.0
1370146560000;4.0;2.0;3.0
1370146561000;1.0;5.0;3.0
1370146562000;4.0;1.0;0.0
1370146563000;5.0;6.0;4.0
1370146564000;3.0;4.0;3.0
1370146565000;6.0;5.0;6.0
1370146566000;4.0;1.0;1.0
1370146567000;4.0;0.0;4.0
1370146568000;3.0;5.0;3.0
1370146569000;1.0;1.0;5.0
1370146570000;7.0;3.0;1.0
1370146571000;4.0;7.0;2.0
1370146572000;1.0;4.0;4.0
1370146573000;2.0;3.0;5.0
1370146574000;6.0;1.0;6.0
1370146575000;3.0;2.0;4.0
1370146576000;1.0;5.0;2.0
1370146577000;2.0;2.0;5.0
1370146578000;3.0;2.0;4.0
1370146579000;2.0;4.0;3.0
1370146580000;2.0;2.0;4.0
1370146581000;2.0;5.0;4.0
1370146582000;5.0;3.0;2.0
1370146583000;4.0;1.0;3.0
1370146584000;7.0;4.0;3.0
1370146585000;5.0;3.0;3.0
1370146586000;5.0;3.0;2.0
1370146587000;3.0;2.0;4.0
1370146588000;1.0;5.0;10.0
1370146589000;6.0;2.0;6.0
1370146590000;4.0;4.0;0.0
1370146591000;2.0;5.0;3.0
1370146592000;2.0;4.0;1.0
1370146593000;4.0;1.0;4.0
1370146594000;3.0;3.0;3.0
1370146595000;3.0;2.0;1.0
1370146596000;4.0;3.0;7.0
1370146597000;7.0;3.0;0.0
1370146598000;2.0;0.0;2.0
1370146599000;2.0;3.0;4.0
1370146600000;1.0;7.0;5.0
1370146601000;7.0;1.0;5.0
1370146602000;5.0;5.0;3.0
1370146603000;1.0;4.0;5.0
1370146604000;3.0;2.0;5.0
1370146605000;5.0;3.0;1.0
1370146606000;5.0;1.0;4.0
1370146607000;2.0;3.0;5.0
1370146608000;8.0;0.0;6.0
1370146609000;6.0;7.0;4.0
1370146610000;4.0;1.0;1.0
1370146611000;2.0;6.0;3.0
1370146612000;4.0;3.0;2.0
1370146613000;5.0;2.0;1.0
1370146614000;3.0;0.0;2.0
1370146615000;3.0;2.0;3.0
1370146616000;4.0;3.0;2.0
1370146617000;4.0;2.0;6.0
1370146618000;4.0;3.0;4.0
1370146619000;3.0;5.0;4.0
1370146620000;2.0;4.0;4.0
1370146621000;8.0;1.0;4.0
1370146622000;2.0;1.0;2.0
1370146623000;4.0;4.0;4.0
1370146624000;3.0;4.0;5.0
1370146625000;2.0;3.0;7.0
1370146626000;3.0;4.0;2.0
1370146627000;1.0;1.0;2.0
1370146628000;1.0;5.0;3.0
1370146629000;6.0;6.0;2.0
1370146630000;6.0;1.0;1.0
1370146631000;6.0;1.0;1.0
1370146632000;2.0;3.0;4.0
1370146633000;4.0;7.0;2.0
1370146634000;4.0;1.0;4.0
1370146635000;3.0;4.0;3.0
1370146636000;3.0;5.0;5.0
1370146637000;2.0;2.0;3.0
1370146638000;3.0;2.0;3.0
1370146639000;3.0;4.0;3.0
1370146640000;3.0;4.0;5.0
1370146641000;3.0;2.0;4.0
1370146642000;6.0;3.0;4.0
1370146643000;5.0;2.0;4.0
1370146644000;2.0;3.0;4.0
1370146645000;3.0;1.0;3.0
1370146646000;5.0;5.0;2.0
1370146647000;1.0;8.0;3.0
1370146648000;4.0;2.0;4.0
1370146649000;6.0;1.0;3.0
1370146650000;4.0;3.0;4.0
1370146651000;7.0;1.0;2.0
1370146652000;3.0;6.0;6.0
1370146653000;5.0;2.0;7.0
1370146654000;5.0;2.0;3.0
1370146655000;1.0;4.0;2.0
1370146656000;6.0;8.0;2.0
1370146657000;1.0;6.0;5.0
1370146658000;3.0;2.0;1.0
1370146659000;4.0;1.0;1.0
1370146660000;2.0;2.0;6.0
1370146661000;3.0;1.0;1.0
1370146662000;6.0;3.0;3.0
1370146663000;3.0;2.0;2.0
1370146664000;6.0;5.0;2.0
1370146665000;3.0;3.0;4.0
1370146666000;2.0;7.0;3.0
1370146667000;3.0;2.0;5.0
1370146668000;5.0;4.0;6.0
1370146669000;4.0;4.0;3.0
1370146670000;11.0;3.0;1.0
1370146671000;2.0;3.0;1.0
1370146672000;6.0;4.0;2.0
1370146673000;4.0;4.0;1.0
1370146674000;4.0;5.0;1.0
1370146675000;3.0;4.0;3.0
1370146676000;6.0;4.0;1.0
1370146677000;5.0;1.0;3.0
1370146678000;4.0;5.0;2.0
1370146679000;5.0;3.0;0.0
1370146680000;1.0;3.0;2.0
1370146681000;6.0;3.0;2.0
1370146682000;4.0;1.0;3.0
1370146683000;3.0;2.0;3.0
1370146684000;6.0;6.0;2.0
1370146685000;4.0;3.0;5.0
1370146686000;4.0;1.0;6.0
1370146687000;3.0;4.0;5.0
1370146688000;4.0;1.0;4.0
1370146689000;4.0;5.0;3.0
1370146690000;4.0;3.0;4.0
1370146691000;6.0;1.0;4.0
1370146692000;4.0;3.0;2.0
1370146693000;0.0;4.0;5.0
1370146694000;3.0;3.0;2.0
1370146695000;5.0;5.0;3.0
1370146696000;4.0;5.0;5.0
1370146697000;6.0;3.0;4.0
1370146698000;2.0;2.0;3.0
1370146699000;2.0;1.0;4.0
1370146700000;4.0;1.0;4.0
1370146701000;2.0;2.0;2.0
1370146702000;4.0;4.0;1.0
1370146703000;2.0;8.0;5.0
1370146704000;2.0;1.0;3.0
1370146705000;2.0;4.0;3.0
1370146706000;3.0;6.0;4.0
1370146707000;3.0;1.0;5.0
1370146708000;8.0;4.0;2.0
1370146709000;6.0;3.0;5.0
1370146710000;4.0;9.0;2.0
1370146711000;3.0;0.0;4.0
1370146712000;5.0;5.0;3.0
1370146713000;3.0;3.0;4.0
1370146714000;4.0;4.0;5.0
1370146715000;1.0;4.0;4.0
1370146716000;2.0;5.0;5.0
1370146717000;6.0;4.0;2.0
1370146718000;4.0;3.0;4.0
1370146719000;0.0;2.0;3.0
1370146720000;2.0;3.0;3.0
1370146721000;1.0;3.0;1.0
1370146722000;6.0;4.0;4.0
1370146723000;4.0;5.0;1.0
1370146724000;1.0;4.0;4.0
1370146725000;3.0;5.0;1.0
1370146726000;0.0;5.0;4.0
1370146727000;4.0;3.0;6.0
1370146728000;4.0;2.0;3.0
1370146729000;3.0;2.0;2.0
1370146730000;5.0;3.0;2.0
1370146731000;2.0;5.0;1.0
1370146732000;1.0;2.0;1.0
1370146733000;2.0;5.0;1.0
1370146734000;3.0;4.0;4.0
1370146735000;4.0;3.0;4.0
1370146736000;1.0;1.0;2.0
1370146737000;2.0;5.0;5.0
1370146738000;5.0;6.0;5.0
1370146739000;4.0;5.0;0.0
