Timestamp;WC2
1370172451036;0.159
1370172451278;0.109
1370172451869;0.164
1370172451898;0.313
1370172451954;0.005
1370172452076;0.041
1370172452551;0.005
1370172452683;0.191
1370172453837;0.157
1370172454458;0.16
1370172454913;0.512
1370172455146;0.813
1370172455961;0.734
1370172456232;0.423
1370172457092;0.651
1370172457525;0.055
1370172457754;0.148
1370172459659;0.218
1370172460304;0.037
1370172460505;0.044
1370172460869;0.336
1370172461357;0.273
1370172461441;0.065
1370172462021;0.513
1370172462095;0.154
1370172462705;2.074
1370172462977;0.669
1370172463043;0.466
1370172463657;0.108
1370172465003;0.241
1370172465514;0.112
1370172466192;0.174
1370172466867;0.002
1370172468202;0.028
1370172468560;0.041
1370172469151;0.079
1370172469589;0.002
1370172469894;0.023
1370172470010;0.037
1370172470122;0.062
1370172471770;0.502
1370172471778;0.241
1370172472300;1.277
1370172472842;0.472
1370172473007;0.144
1370172473646;0.001
1370172474125;0.065
1370172474367;0.087
1370172475192;0.007
1370172475468;0.114
1370172476152;0.636
1370172476766;1.953
1370172477195;0.993
1370172477208;0.86
1370172477935;0.001
1370172478113;0.11
1370172479091;0.451
1370172479436;1.372
1370172479493;0.246
1370172479971;0.007
1370172480041;1.639
1370172480558;0.191
1370172481233;0.55
1370172481351;0.182
1370172482229;0.225
1370172482516;0.379
1370172482533;0.0
1370172483144;0.009
1370172483459;0.617
1370172483678;0.011
1370172485419;0.649
1370172485980;1.126
1370172486431;0.623
1370172486793;0.009
1370172487038;0.583
1370172487489;0.032
1370172487640;0.204
1370172487697;0.118
1370172488314;0.054
1370172488566;0.001
1370172490202;0.179
1370172490242;0.439
1370172490353;0.503
1370172491033;0.461
1370172491087;0.87
1370172491442;0.582
1370172491573;0.001
1370172491667;0.361
1370172491774;0.022
1370172491988;0.3
1370172495011;0.553
1370172495028;0.056
1370172495354;0.874
1370172495846;0.282
1370172495871;0.005
1370172497079;0.285
1370172497090;0.224
1370172497524;0.074
1370172497701;0.015
