Timestamps,wc2-absolute,wc3-absolute,wc1-absolute,wc2-relative,wc3-relative,wc1-relative
1566552547,7,0,0,1.0,0,0
1566552548,40,0,0,1.0,0,0
1566552549,29,0,0,1.0,0,0
1566552550,27,0,0,1.0,0,0
1566552551,28,0,0,1.0,0,0
1566552552,28,0,0,1.0,0,0
1566552553,28,0,0,1.0,0,0
1566552554,28,0,0,1.0,0,0
1566552555,29,0,0,1.0,0,0
1566552556,27,0,0,1.0,0,0
1566552557,28,0,0,1.0,0,0
1566552558,28,0,0,1.0,0,0
1566552559,29,0,0,1.0,0,0
1566552560,28,0,0,1.0,0,0
1566552561,28,0,0,1.0,0,0
1566552562,27,0,0,1.0,0,0
1566552563,28,0,0,1.0,0,0
1566552564,29,0,0,1.0,0,0
1566552565,25,0,0,1.0,0,0
1566552566,31,0,0,1.0,0,0
1566552567,27,0,0,1.0,0,0
1566552568,27,0,0,1.0,0,0
1566552569,30,0,0,1.0,0,0
1566552570,28,0,0,1.0,0,0
1566552571,26,0,0,1.0,0,0
1566552572,29,0,0,1.0,0,0
1566552573,29,0,0,1.0,0,0
1566552574,28,0,0,1.0,0,0
1566552575,27,0,0,1.0,0,0
1566552576,28,0,0,1.0,0,0
1566552577,29,0,0,1.0,0,0
1566552578,27,0,0,1.0,0,0
1566552579,29,0,0,1.0,0,0
1566552580,28,0,0,1.0,0,0
1566552581,28,0,0,1.0,0,0
1566552582,27,0,0,1.0,0,0
1566552583,28,0,0,1.0,0,0
1566552584,28,0,0,1.0,0,0
1566552585,29,0,0,1.0,0,0
1566552586,26,0,0,1.0,0,0
1566552587,29,0,0,1.0,0,0
1566552588,28,0,0,1.0,0,0
1566552589,28,0,0,1.0,0,0
1566552590,29,0,0,1.0,0,0
1566552591,26,0,0,1.0,0,0
1566552592,30,0,0,1.0,0,0
1566552593,26,0,0,1.0,0,0
1566552594,30,0,0,1.0,0,0
1566552595,27,0,0,1.0,0,0
1566552596,27,0,0,1.0,0,0
1566552597,29,0,0,1.0,0,0
1566552598,29,0,0,1.0,0,0
1566552599,26,0,0,1.0,0,0
1566552600,29,0,0,1.0,0,0
1566552601,28,0,0,1.0,0,0
1566552602,29,0,0,1.0,0,0
1566552603,28,0,0,1.0,0,0
1566552604,28,0,0,1.0,0,0
1566552605,28,0,0,1.0,0,0
1566552606,28,0,0,1.0,0,0
