Finish time,Time,Type,Selected Approach,Estimated Demand,Estimated Error,
1597826518984, 8540, EVALUATION, tools.descartes.librede.approach.ResponseTimeApproximationApproach, Error when running evaluation estimation., Error when running evaluation estimation., 
1597826518987, 8547, EVALUATION, tools.descartes.librede.approach.ServiceDemandLawApproach, Error when running evaluation estimation., Error when running evaluation estimation., 
1597826518988, 8583, ESTIMATION, -,Error when running estimation., Error when running estimation., 
1597826518990, 8549, EVALUATION, tools.descartes.librede.approach.WangKalmanFilterApproach, Error when running evaluation estimation., Error when running evaluation estimation., 
1597826518992, 8549, EVALUATION, tools.descartes.librede.approach.UtilizationRegressionApproach, Error when running evaluation estimation., Error when running evaluation estimation., 
1597826519129, 31, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.ServiceDemandLawApproach, Error when running optimized evaluation estimation., Error when running optimized evaluation estimation., 
1597826519133, 54, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.WangKalmanFilterApproach, Error when running optimized evaluation estimation., Error when running optimized evaluation estimation., 
1597826519147, 11, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.ResponseTimeRegressionApproach, Error when running optimized evaluation estimation., Error when running optimized evaluation estimation., 
1597826519163, 65, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.KumarKalmanFilterApproach, Error when running optimized evaluation estimation., Error when running optimized evaluation estimation., 
1597826519173, 8, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.ResponseTimeApproximationApproach, Error when running optimized evaluation estimation., Error when running optimized evaluation estimation., 
1597826519184, 10, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.UtilizationRegressionApproach, Error when running optimized evaluation estimation., Error when running optimized evaluation estimation., 
1597826580463, 5, ESTIMATION, -,[[0.008552739279654706; 0.027569261457616536; 0.007231237405703717]], 0.03833357771783565, 
1597826580497, 4, EVALUATION, tools.descartes.librede.approach.KumarKalmanFilterApproach, [[0.009031146099836905; 0.023823340340048075; 0.008926465972110827]], 0.04921466121736671, 
1597826580502, 2, EVALUATION, tools.descartes.librede.approach.ServiceDemandLawApproach, [[0.008552739279654706; 0.027569261457616536; 0.007231237405703717]], 0.03833357771783565, 
1597826580506, 3, EVALUATION, tools.descartes.librede.approach.ResponseTimeApproximationApproach, [[0.012403028943683411; 0.039980447975095805; 0.010486610652910056]], 0.386431800494252, 
1597826580520, 4, EVALUATION, tools.descartes.librede.approach.ResponseTimeRegressionApproach, [[0.0; 0.0; 0.0]], 0.3783595464158107, 
1597826580526, 3, EVALUATION, tools.descartes.librede.approach.WangKalmanFilterApproach, [[0.012825982992295887; 0.013092759182641404; 0.01225686045289212]], 0.13476034989720156, 
1597826580537, 2, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.ResponseTimeApproximationApproach, [[0.012403028943683411; 0.039980447975095805; 0.010486610652910056]], 0.386431800494252, 
1597826580538, 2, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.UtilizationRegressionApproach, [[0.0; 0.0; 0.0]], 0.3783595464158107, 
1597826580540, 3, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.ResponseTimeRegressionApproach, [[0.0; 0.0; 0.0]], 0.3783595464158107, 
1597826580541, 3, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.WangKalmanFilterApproach, [[0.012825982992295887; 0.013092759182641404; 0.01225686045289212]], 0.13476034989720156, 
1597826580542, 3, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.KumarKalmanFilterApproach, [[0.009031146099836905; 0.023823340340048075; 0.008926465972110827]], 0.04921466121736671, 
1597826651248, 5, EVALUATION, tools.descartes.librede.approach.ResponseTimeRegressionApproach, [[0.006048059159408268; 0.022094125347260764; 0.004175732364607886]], 0.098332895081401, 
1597826651251, 12, EVALUATION, tools.descartes.librede.approach.KumarKalmanFilterApproach, [[0.009092523668969489; 0.02540018950396794; 0.007892790852658451]], 0.07250476325491886, 
1597826651252, 13, EVALUATION, tools.descartes.librede.approach.WangKalmanFilterApproach, [[0.013992202164613804; 0.01527064054373936; 0.013004864621703012]], 0.21077625043587056, 
1597826651257, 6, EVALUATION, tools.descartes.librede.approach.UtilizationRegressionApproach, [[0.0; 0.030174912542436916; 0.011738115543753355]], 0.1513703048651363, 
1597826651258, 3, EVALUATION, tools.descartes.librede.approach.ResponseTimeApproximationApproach, [[0.012556290451529215; 0.04530868966479963; 0.008871506403554259]], 0.857748789792611, 
1597826651262, 4, ESTIMATION, -,[[0.00806423175541171; 0.028876092217007036; 0.005778263845905719]], 0.04990375956596683, 
1597826651264, 5, EVALUATION, tools.descartes.librede.approach.ServiceDemandLawApproach, [[0.00806423175541171; 0.028876092217007036; 0.005778263845905719]], 0.04990375956596683, 
1597826651269, 4, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.ServiceDemandLawApproach, [[0.00806423175541171; 0.028876092217007036; 0.005778263845905719]], 0.04990375956596683, 
1597826651272, 5, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.ResponseTimeApproximationApproach, [[0.012556290451529215; 0.04530868966479963; 0.008871506403554259]], 0.857748789792611, 
1597826651273, 4, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.UtilizationRegressionApproach, [[0.0; 0.030174912542436916; 0.011738115543753355]], 0.1513703048651363, 
1597826651284, 3, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.ResponseTimeRegressionApproach, [[0.006048059159408268; 0.022094125347260764; 0.004175732364607886]], 0.098332895081401, 
1597826651285, 4, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.WangKalmanFilterApproach, [[0.013992202164613804; 0.01527064054373936; 0.013004864621703012]], 0.21077625043587056, 
1597826660354, 141055, OPTIMIZATION, -,-,-,
1597826720410, 6, ESTIMATION, -,[[0.0083275365287282; 0.02908002184363135; 0.0050533243879514736]], 0.051308773581769364, 
1597826720413, 6, EVALUATION, tools.descartes.librede.approach.ResponseTimeApproximationApproach, [[0.012784853039244112; 0.04380070136011668; 0.008225246627821066]], 0.6912546507681616, 
1597826720414, 7, EVALUATION, tools.descartes.librede.approach.UtilizationRegressionApproach, [[0.0; 0.030158685419147242; 0.011634161808752194]], 0.15737212973911688, 
1597826720417, 9, EVALUATION, tools.descartes.librede.approach.ResponseTimeRegressionApproach, [[0.006270639220625199; 0.02170525547389185; 0.0039794208173235925]], 0.09807180643962815, 
1597826720419, 5, EVALUATION, tools.descartes.librede.approach.ServiceDemandLawApproach, [[0.008420864402377036; 0.028628303998827615; 0.0054462083305402975]], 0.05380316981745822, 
1597826720424, 4, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.UtilizationRegressionApproach, [[0.0; 0.0; 0.0]], 0.40633504201407494, 
1597826720427, 7, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.ResponseTimeRegressionApproach, [[0.0062517577573354376; 0.021625351527614127; 0.003910571802989698]], 0.099864166318654, 
1597826720429, 5, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.WangKalmanFilterApproach, [[0.01265421370054208; 0.02078103845845979; 0.008520258507712751]], 0.15919694857581854, 
1597826720430, 6, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.KumarKalmanFilterApproach, [[0.009599938844870428; 0.025211012471748184; 0.00709807837767515]], 0.08145426448650958, 
1597826790491, 6, ESTIMATION, -,[[0.007748872920471372; 0.029355298287379174; 0.0046552833226986366]], 0.06860150916893056, 
1597826790493, 6, EVALUATION, tools.descartes.librede.approach.ServiceDemandLawApproach, [[0.007766150831611987; 0.02942456044444945; 0.004912331527337067]], 0.06904341522200659, 
1597826790496, 7, EVALUATION, tools.descartes.librede.approach.WangKalmanFilterApproach, [[0.014071636200918836; 0.017600543701287295; 0.011415207975496172]], 0.24790668263425591, 
1597826790499, 6, EVALUATION, tools.descartes.librede.approach.UtilizationRegressionApproach, [[0.008193621445501589; 0.02892625355525017; 0.0059295806489106945]], 0.08534820614272362, 
1597826790500, 6, EVALUATION, tools.descartes.librede.approach.ResponseTimeRegressionApproach, [[0.00521610107252129; 0.02154367645791666; 0.0031997657609151723]], 0.13298271299758907, 
1597826790507, 5, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.ResponseTimeApproximationApproach, [[0.012616453458996191; 0.04656849654680906; 0.00822998868120973]], 1.363374052177805, 
1597826790508, 6, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.ServiceDemandLawApproach, [[0.007748872920471372; 0.029355298287379174; 0.0046552833226986366]], 0.06860150916893056, 
1597826790510, 6, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.WangKalmanFilterApproach, [[0.01222629682984195; 0.02207785862944962; 0.007808444679459596]], 0.18697193406414186, 
1597826790514, 5, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.ResponseTimeRegressionApproach, [[0.005206065852011723; 0.021506133878560436; 0.0031453895882355767]], 0.13403553577908436, 
1597826790517, 8, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.KumarKalmanFilterApproach, [[0.009530312760433654; 0.02578807555855078; 0.006389481008444235]], 0.1139194139414585, 
1597826860568, 9, ESTIMATION, -,[[0.007731750723853048; 0.029198154001181895; 0.004589485460600361]], 0.08722914243214398, 
1597826860570, 8, EVALUATION, tools.descartes.librede.approach.UtilizationRegressionApproach, [[0.0014914816448050178; 0.0316507493812275; 0.009228895360525177]], 0.12296369855190496, 
1597826860572, 11, EVALUATION, tools.descartes.librede.approach.ServiceDemandLawApproach, [[0.007561064849891046; 0.02928054665878301; 0.004770415522920073]], 0.08193580693489864, 
1597826860576, 6, EVALUATION, tools.descartes.librede.approach.ResponseTimeApproximationApproach, [[0.012479597397866062; 0.04974857225773991; 0.0078041794593014776]], 1.5525381384882084, 
1597826860577, 7, EVALUATION, tools.descartes.librede.approach.WangKalmanFilterApproach, [[0.014058625648979823; 0.01842010670103193; 0.010702144355345944]], 0.26840049574177405, 
1597826860582, 9, EVALUATION, tools.descartes.librede.approach.KumarKalmanFilterApproach, [[0.009421522379944878; 0.02586135079348754; 0.006611863318844979]], 0.1296411440321322, 
1597826860588, 5, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.ResponseTimeApproximationApproach, [[0.01251462637245884; 0.05071383002065638; 0.007899300000275923]], 1.6263969416016018, 
1597826860589, 6, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.ServiceDemandLawApproach, [[0.007731750723853048; 0.029198154001181895; 0.004589485460600361]], 0.08722914243214398, 
1597826860590, 7, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.ResponseTimeRegressionApproach, [[0.005079532564965059; 0.020590669769730733; 0.0030213670521726413]], 0.1425075035505503, 
