Finish time,Time,Type,Selected Approach,Estimated Demand,Estimated Error,
1598526487719, 7249, EVALUATION, tools.descartes.librede.approach.ResponseTimeApproximationApproach, Error when running evaluation estimation., Error when running evaluation estimation., 
1598526487726, 7256, EVALUATION, tools.descartes.librede.approach.UtilizationRegressionApproach, Error when running evaluation estimation., Error when running evaluation estimation., 
1598526487729, 7262, EVALUATION, tools.descartes.librede.approach.ServiceDemandLawApproach, Error when running evaluation estimation., Error when running evaluation estimation., 
1598526487742, 7280, ESTIMATION, -,Error when running estimation., Error when running estimation., 
1598526487764, 7290, EVALUATION, tools.descartes.librede.approach.KumarKalmanFilterApproach, Error when running evaluation estimation., Error when running evaluation estimation., 
1598526487769, 7296, EVALUATION, tools.descartes.librede.approach.ResponseTimeRegressionApproach, Error when running evaluation estimation., Error when running evaluation estimation., 
1598526487771, 7295, EVALUATION, tools.descartes.librede.approach.WangKalmanFilterApproach, Error when running evaluation estimation., Error when running evaluation estimation., 
1598526487815, 7, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.ResponseTimeApproximationApproach, Error when running optimized evaluation estimation., Error when running optimized evaluation estimation., 
1598526487938, 131, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.ServiceDemandLawApproach, Error when running optimized evaluation estimation., Error when running optimized evaluation estimation., 
1598526487942, 32, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.WangKalmanFilterApproach, Error when running optimized evaluation estimation., Error when running optimized evaluation estimation., 
1598526488018, 106, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.ResponseTimeRegressionApproach, Error when running optimized evaluation estimation., Error when running optimized evaluation estimation., 
1598526488019, 109, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.KumarKalmanFilterApproach, Error when running optimized evaluation estimation., Error when running optimized evaluation estimation., 
1598526488058, 0, RECOMMENDATION, None., -,-,
1598526551379, 3, EVALUATION, tools.descartes.librede.approach.UtilizationRegressionApproach, [[0.0; 0.0; 0.0]], 0.3783595464158107, 
1598526551380, 4, EVALUATION, tools.descartes.librede.approach.ResponseTimeRegressionApproach, [[0.0; 0.0; 0.0]], 0.3783595464158107, 
1598526551381, 6, ESTIMATION, -,[[0.012403028943683411; 0.039980447975095805; 0.010486610652910056]], 0.386431800494252, 
1598526551384, 8, EVALUATION, tools.descartes.librede.approach.ServiceDemandLawApproach, [[0.008552739279654706; 0.027569261457616536; 0.007231237405703717]], 0.03833357771783565, 
1598526551386, 3, EVALUATION, tools.descartes.librede.approach.ResponseTimeApproximationApproach, [[0.012403028943683411; 0.039980447975095805; 0.010486610652910056]], 0.386431800494252, 
1598526551391, 3, EVALUATION, tools.descartes.librede.approach.WangKalmanFilterApproach, [[0.012825982992295887; 0.013092759182641404; 0.01225686045289212]], 0.13476034989720156, 
1598526551395, 8, EVALUATION, tools.descartes.librede.approach.KumarKalmanFilterApproach, [[0.009031146099836905; 0.023823340340048075; 0.008926465972110827]], 0.04921466121736671, 
1598526551404, 3, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.ServiceDemandLawApproach, [[0.008552739279654706; 0.027569261457616536; 0.007231237405703717]], 0.03833357771783565, 
1598526551406, 2, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.UtilizationRegressionApproach, [[0.0; 0.0; 0.0]], 0.3783595464158107, 
1598526551410, 3, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.ResponseTimeRegressionApproach, [[0.0; 0.0; 0.0]], 0.3783595464158107, 
1598526551422, 2, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.WangKalmanFilterApproach, [[0.012825982992295887; 0.013092759182641404; 0.01225686045289212]], 0.13476034989720156, 
1598526621436, 11, ESTIMATION, -,[[0.012556290451529215; 0.04530868966479963; 0.008871506403554259]], 0.857748789792611, 
1598526621468, 5, EVALUATION, tools.descartes.librede.approach.WangKalmanFilterApproach, [[0.013992202164613804; 0.01527064054373936; 0.013004864621703012]], 0.21077625043587056, 
1598526621475, 5, EVALUATION, tools.descartes.librede.approach.KumarKalmanFilterApproach, [[0.009092523668969489; 0.02540018950396794; 0.007892790852658451]], 0.07250476325491886, 
1598526621478, 4, EVALUATION, tools.descartes.librede.approach.ResponseTimeRegressionApproach, [[0.006048059159408268; 0.022094125347260764; 0.004175732364607886]], 0.098332895081401, 
1598526621484, 3, EVALUATION, tools.descartes.librede.approach.ServiceDemandLawApproach, [[0.00806423175541171; 0.028876092217007036; 0.005778263845905719]], 0.04990375956596683, 
1598526621486, 11, EVALUATION, tools.descartes.librede.approach.UtilizationRegressionApproach, [[0.0; 0.030174912542436916; 0.011738115543753355]], 0.1513703048651363, 
1598526621509, 2, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.ResponseTimeApproximationApproach, [[0.012556290451529215; 0.04530868966479963; 0.008871506403554259]], 0.857748789792611, 
1598526621510, 3, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.UtilizationRegressionApproach, [[0.0; 0.030174912542436916; 0.011738115543753355]], 0.1513703048651363, 
