Finish time,Time,Type,Selected Approach,Estimated Demand,Estimated Error,
1591776209173, 1981, ESTIMATION, -,Error when running estimation., Error when running estimation., 
1591776209175, 1978, EVALUATION, tools.descartes.librede.approach.ServiceDemandLawApproach, Error when running evaluation estimation., Error when running evaluation estimation., 
1591776209179, 1980, EVALUATION, tools.descartes.librede.approach.UtilizationRegressionApproach, Error when running evaluation estimation., Error when running evaluation estimation., 
1591776209180, 1980, EVALUATION, tools.descartes.librede.approach.ResponseTimeRegressionApproach, Error when running evaluation estimation., Error when running evaluation estimation., 
1591776209197, 9, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.ServiceDemandLawApproach, Error when running optimized evaluation estimation., Error when running optimized evaluation estimation., 
1591776209200, 10, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.UtilizationRegressionApproach, Error when running optimized evaluation estimation., Error when running optimized evaluation estimation., 
1591776209210, 21, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.ResponseTimeApproximationApproach, Error when running optimized evaluation estimation., Error when running optimized evaluation estimation., 
1591776209211, 20, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.KumarKalmanFilterApproach, Error when running optimized evaluation estimation., Error when running optimized evaluation estimation., 
1591776209215, 24, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.WangKalmanFilterApproach, Error when running optimized evaluation estimation., Error when running optimized evaluation estimation., 
1591776277261, 2, ESTIMATION, -,[[0.008552739279654706; 0.027569261457616536; 0.007231237405703717]], 0.01916678885891784, 
1591776277274, 2, EVALUATION, tools.descartes.librede.approach.ResponseTimeApproximationApproach, [[0.012403028943683411; 0.039980447975095805; 0.010486610652910056]], 0.24356843103879697, 
1591776277282, 2, EVALUATION, tools.descartes.librede.approach.ServiceDemandLawApproach, [[0.008552739279654706; 0.027569261457616536; 0.007231237405703717]], 0.01916678885891784, 
1591776277285, 2, EVALUATION, tools.descartes.librede.approach.UtilizationRegressionApproach, [[0.0; 0.0; 0.0]], 0.3010290379412345, 
1591776277286, 3, EVALUATION, tools.descartes.librede.approach.ResponseTimeRegressionApproach, [[0.0; 0.0; 0.0]], 0.3010290379412345, 
1591776277288, 1, EVALUATION, tools.descartes.librede.approach.WangKalmanFilterApproach, [[0.012825982992295887; 0.013092759182641404; 0.01225686045289212]], 0.06738017791218946, 
1591776277291, 2, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.ServiceDemandLawApproach, [[0.008552739279654706; 0.027569261457616536; 0.007231237405703717]], 0.01916678885891784, 
1591776277292, 3, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.ResponseTimeRegressionApproach, [[0.0; 0.0; 0.0]], 0.3010290379412345, 
1591776277294, 2, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.ResponseTimeApproximationApproach, [[0.012403028943683411; 0.039980447975095805; 0.010486610652910056]], 0.24356843103879697, 
1591776347353, 2, ESTIMATION, -,[[0.00806423175541171; 0.028876092217007036; 0.005778263845905719]], 0.027336194075870807, 
1591776347371, 2, EVALUATION, tools.descartes.librede.approach.ServiceDemandLawApproach, [[0.00806423175541171; 0.028876092217007036; 0.005778263845905719]], 0.027336194075870807, 
1591776347374, 2, EVALUATION, tools.descartes.librede.approach.ResponseTimeApproximationApproach, [[0.012556290451529215; 0.04530868966479963; 0.008871506403554259]], 0.4970090130987104, 
1591776347394, 3, EVALUATION, tools.descartes.librede.approach.UtilizationRegressionApproach, [[0.0; 0.030174912542436916; 0.011738115543753355]], 0.07568515243256821, 
1591776347396, 3, EVALUATION, tools.descartes.librede.approach.ResponseTimeRegressionApproach, [[0.006048059159408268; 0.022094125347260764; 0.004175732364607886]], 0.08139897459025196, 
1591776347400, 9, EVALUATION, tools.descartes.librede.approach.KumarKalmanFilterApproach, [[0.009092523668993411; 0.025400189503964977; 0.007892790852667404]], 0.038308281387013025, 
1591776347403, 2, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.ServiceDemandLawApproach, [[0.00806423175541171; 0.028876092217007036; 0.005778263845905719]], 0.027336194075870807, 
1591776347404, 3, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.ResponseTimeRegressionApproach, [[0.006048059159408268; 0.022094125347260764; 0.004175732364607886]], 0.08139897459025196, 
1591776347406, 3, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.ResponseTimeApproximationApproach, [[0.012556290451529215; 0.04530868966479963; 0.008871506403554259]], 0.4970090130987104, 
1591776347415, 3, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.WangKalmanFilterApproach, [[0.013992202164613804; 0.01527064054373936; 0.013004864621703012]], 0.11733040487825983, 
1591776347416, 4, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.KumarKalmanFilterApproach, [[0.009092523668993411; 0.025400189503964977; 0.007892790852667404]], 0.038308281387013025, 
1591776417463, 8, EVALUATION, tools.descartes.librede.approach.ResponseTimeApproximationApproach, [[0.012784853039244112; 0.04380070136011668; 0.008225246627821066]], 0.4092267687025914, 
1591776417464, 3, EVALUATION, tools.descartes.librede.approach.WangKalmanFilterApproach, [[0.013579945548376424; 0.015726299057786334; 0.01231257372770204]], 0.10521425961304291, 
1591776417465, 12, ESTIMATION, -,[[0.008420864402377036; 0.028628303998827615; 0.0054462083305402975]], 0.02917412918237221, 
1591776417467, 7, EVALUATION, tools.descartes.librede.approach.UtilizationRegressionApproach, [[0.0; 0.030158685419147242; 0.011634161808752194]], 0.07921286220352343, 
1591776417472, 3, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.ServiceDemandLawApproach, [[0.008420864402377036; 0.028628303998827615; 0.0054462083305402975]], 0.02917412918237221, 
1591776417469, 14, EVALUATION, tools.descartes.librede.approach.KumarKalmanFilterApproach, [[0.00944236638631357; 0.024898267381216588; 0.007611060487726445]], 0.0418395424809344, 
1591776417472, 3, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.ResponseTimeApproximationApproach, [[0.012784853039244112; 0.04380070136011668; 0.008225246627821066]], 0.4092267687025914, 
1591776417473, 4, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.WangKalmanFilterApproach, [[0.013579945548376424; 0.015726299057786334; 0.01231257372770204]], 0.10521425961304291, 
1591776417476, 3, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.UtilizationRegressionApproach, [[0.0; 0.030158685419147242; 0.011634161808752194]], 0.07921286220352343, 
1591776417477, 4, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.KumarKalmanFilterApproach, [[0.00944236638631357; 0.024898267381216588; 0.007611060487726445]], 0.0418395424809344, 
1591776417480, 4, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.ResponseTimeRegressionApproach, [[0.006270639220625199; 0.02170525547389185; 0.0039794208173235925]], 0.08108697989918955, 
1591776487527, 3, ESTIMATION, -,[[0.007766150831611987; 0.02942456044444945; 0.004912331527337067]], 0.03709395342235368, 
1591776487534, 5, EVALUATION, tools.descartes.librede.approach.UtilizationRegressionApproach, [[0.008193621445501589; 0.02892625355525017; 0.0059295806489106945]], 0.045037514133097936, 
1591776487535, 3, EVALUATION, tools.descartes.librede.approach.ResponseTimeApproximationApproach, [[0.012641198541121397; 0.04958818358450884; 0.007910764008806179]], 0.7760253004012533, 
1591776487536, 8, EVALUATION, tools.descartes.librede.approach.KumarKalmanFilterApproach, [[0.009357877137368312; 0.02588059062065038; 0.006887981470700572]], 0.05996143921690463, 
1591776487539, 7, EVALUATION, tools.descartes.librede.approach.ServiceDemandLawApproach, [[0.007766150831611987; 0.02942456044444945; 0.004912331527337067]], 0.03709395342235368, 
1591776487540, 11, EVALUATION, tools.descartes.librede.approach.ResponseTimeRegressionApproach, [[0.00521610107252129; 0.02154367645791666; 0.0031997657609151723]], 0.10741154842326378, 
