Finish time,Time,Type,Selected Approach,Estimated Demand,Estimated Error,
1581699369165, 1967, ESTIMATION, -,Error when running estimation., Error when running estimation., 
1581699369166, 1961, EVALUATION, tools.descartes.librede.approach.ResponseTimeApproximationApproach, Error when running evaluation estimation., Error when running evaluation estimation., 
1581699369173, 1970, EVALUATION, tools.descartes.librede.approach.ServiceDemandLawApproach, Error when running evaluation estimation., Error when running evaluation estimation., 
1581699369175, 1966, EVALUATION, tools.descartes.librede.approach.KumarKalmanFilterApproach, Error when running evaluation estimation., Error when running evaluation estimation., 
1581699369176, 1969, EVALUATION, tools.descartes.librede.approach.ResponseTimeRegressionApproach, Error when running evaluation estimation., Error when running evaluation estimation., 
1581699369190, 6, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.ResponseTimeApproximationApproach, Error when running optimized evaluation estimation., Error when running optimized evaluation estimation., 
1581699369191, 8, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.ServiceDemandLawApproach, Error when running optimized evaluation estimation., Error when running optimized evaluation estimation., 
1581699369221, 36, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.UtilizationRegressionApproach, Error when running optimized evaluation estimation., Error when running optimized evaluation estimation., 
1581699369230, 39, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.ResponseTimeRegressionApproach, Error when running optimized evaluation estimation., Error when running optimized evaluation estimation., 
1581699369235, 50, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.KumarKalmanFilterApproach, Error when running optimized evaluation estimation., Error when running optimized evaluation estimation., 
1581699369237, 45, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.WangKalmanFilterApproach, Error when running optimized evaluation estimation., Error when running optimized evaluation estimation., 
1581699369243, 0, RECOMMENDATION, None., -,-,
1581699437297, 11, ESTIMATION, -,[[0.008552739279654706; 0.027569261457616536; 0.007231237405703717]], 0.01277785923927857, 
1581699437307, 2, EVALUATION, tools.descartes.librede.approach.ServiceDemandLawApproach, [[0.008552739279654706; 0.027569261457616536; 0.007231237405703717]], 0.01277785923927857, 
1581699437314, 9, EVALUATION, tools.descartes.librede.approach.UtilizationRegressionApproach, [[0.0; 0.0; 0.0]], 0.2752522017830424, 
1581699437359, 3, EVALUATION, tools.descartes.librede.approach.ResponseTimeRegressionApproach, [[0.0; 0.0; 0.0]], 0.2752522017830424, 
1581699437363, 2, EVALUATION, tools.descartes.librede.approach.ResponseTimeApproximationApproach, [[0.012403028943683411; 0.039980447975095805; 0.010486610652910056]], 0.19594730788697862, 
1581699437368, 7, EVALUATION, tools.descartes.librede.approach.KumarKalmanFilterApproach, [[0.009031146099836905; 0.023823340340048075; 0.008926465972110827]], 0.016621923446101725, 
1581699437371, 2, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.UtilizationRegressionApproach, [[0.0; 0.0; 0.0]], 0.2752522017830424, 
1581699437372, 2, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.WangKalmanFilterApproach, [[0.012825982992295887; 0.013092759182641404; 0.01225686045289212]], 0.04492012058385209, 
1581699437374, 4, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.KumarKalmanFilterApproach, [[0.009031146099836905; 0.023823340340048075; 0.008926465972110827]], 0.016621923446101725, 
1581699437380, 2, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.ServiceDemandLawApproach, [[0.008552739279654706; 0.027569261457616536; 0.007231237405703717]], 0.01277785923927857, 
1581699453415, 84171, TRAINING, -,-,-,
1581699507425, 5, ESTIMATION, -,[[0.00806423175541171; 0.028876092217007036; 0.005778263845905719]], 0.019813672245838798, 
1581699507431, 5, EVALUATION, tools.descartes.librede.approach.ResponseTimeApproximationApproach, [[0.012556290451529215; 0.04530868966479963; 0.008871506403554259]], 0.3767624208674101, 
1581699507438, 5, EVALUATION, tools.descartes.librede.approach.UtilizationRegressionApproach, [[0.0; 0.030174912542436916; 0.011738115543753355]], 0.05045676828837884, 
1581699507445, 7, EVALUATION, tools.descartes.librede.approach.ResponseTimeRegressionApproach, [[0.006048059159408268; 0.022094125347260764; 0.004175732364607886]], 0.07575433442653562, 
1581699507447, 14, EVALUATION, tools.descartes.librede.approach.ServiceDemandLawApproach, [[0.00806423175541171; 0.028876092217007036; 0.005778263845905719]], 0.019813672245838798, 
1581699507453, 7, EVALUATION, tools.descartes.librede.approach.KumarKalmanFilterApproach, [[0.009092523668993411; 0.025400189503964977; 0.007892790852667404]], 0.026909454097525487, 
1581699507459, 5, EVALUATION, tools.descartes.librede.approach.WangKalmanFilterApproach, [[0.013992202164613804; 0.01527064054373936; 0.013004864621703012]], 0.08618178969238957, 
1581699507464, 4, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.WangKalmanFilterApproach, [[0.013992202164613804; 0.01527064054373936; 0.013004864621703012]], 0.08618178969238957, 
1581699507466, 6, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.KumarKalmanFilterApproach, [[0.009092523668993411; 0.025400189503964977; 0.007892790852667404]], 0.026909454097525487, 
1581699507469, 9, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.UtilizationRegressionApproach, [[0.0; 0.030174912542436916; 0.011738115543753355]], 0.05045676828837884, 
1581699507473, 7, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.ResponseTimeRegressionApproach, [[0.006048059159408268; 0.022094125347260764; 0.004175732364607886]], 0.07575433442653562, 
1581699507478, 18, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.ResponseTimeApproximationApproach, [[0.012556290451529215; 0.04530868966479963; 0.008871506403554259]], 0.3767624208674101, 
1581699507482, 4, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.ServiceDemandLawApproach, [[0.00806423175541171; 0.028876092217007036; 0.005778263845905719]], 0.019813672245838798, 
1581699538373, 880, RECOMMENDATION, None., -,-,
1581699577530, 12, ESTIMATION, -,[[0.008420864402377036; 0.028628303998827615; 0.0054462083305402975]], 0.020964448970676876, 
1581699577535, 8, EVALUATION, tools.descartes.librede.approach.ServiceDemandLawApproach, [[0.008420864402377036; 0.028628303998827615; 0.0054462083305402975]], 0.020964448970676876, 
1581699577538, 6, EVALUATION, tools.descartes.librede.approach.UtilizationRegressionApproach, [[0.0; 0.030158685419147242; 0.011634161808752194]], 0.05315977302499229, 
1581699577547, 7, EVALUATION, tools.descartes.librede.approach.ResponseTimeApproximationApproach, [[0.012784853039244112; 0.04380070136011668; 0.008225246627821066]], 0.3152174746807347, 
1581699577553, 9, EVALUATION, tools.descartes.librede.approach.KumarKalmanFilterApproach, [[0.00944236638631357; 0.024898267381216588; 0.007611060487726445]], 0.029791502581814698, 
1581699577557, 3, EVALUATION, tools.descartes.librede.approach.WangKalmanFilterApproach, [[0.013579945548376424; 0.015726299057786334; 0.01231257372770204]], 0.07615391467613988, 
1581699577562, 8, EVALUATION, tools.descartes.librede.approach.ResponseTimeRegressionApproach, [[0.006270639220625199; 0.02170525547389185; 0.0039794208173235925]], 0.07542537105237668, 
1581699577566, 3, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.WangKalmanFilterApproach, [[0.013579945548376424; 0.015726299057786334; 0.01231257372770204]], 0.07615391467613988, 
1581699577567, 4, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.ServiceDemandLawApproach, [[0.008420864402377036; 0.028628303998827615; 0.0054462083305402975]], 0.020964448970676876, 
1581699577569, 2, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.ResponseTimeApproximationApproach, [[0.012784853039244112; 0.04380070136011668; 0.008225246627821066]], 0.3152174746807347, 
1581699577571, 8, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.ResponseTimeRegressionApproach, [[0.006270639220625199; 0.02170525547389185; 0.0039794208173235925]], 0.07542537105237668, 
1581699577573, 6, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.UtilizationRegressionApproach, [[0.0; 0.030158685419147242; 0.011634161808752194]], 0.05315977302499229, 
