Finish time,Time,Type,Selected Approach,Estimated Demand,Estimated Error,
1565350174128, 3136, ESTIMATION, -,[[0.0; 0.0; 0.0]], 1.7976931348623157E308, 
1565350174143, 3140, EVALUATION, tools.descartes.librede.approach.ResponseTimeApproximationApproach, [[0.0; 0.0; 0.0]], 1.7976931348623157E308, 
1565350174164, 3148, EVALUATION, tools.descartes.librede.approach.KumarKalmanFilterApproach, [[NaN; NaN; NaN]], 1.7976931348623157E308, 
1565350174245, 3243, EVALUATION, tools.descartes.librede.approach.ServiceDemandLawApproach, [[0.0; 0.0; 0.0]], 1.7976931348623157E308, 
1565350174286, 3273, EVALUATION, tools.descartes.librede.approach.UtilizationRegressionApproach, [[0.0; 0.0; 0.0]], 1.7976931348623157E308, 
1565350174291, 3276, EVALUATION, tools.descartes.librede.approach.WangKalmanFilterApproach, [[NaN; NaN; NaN]], 1.7976931348623157E308, 
1565350174362, 3350, EVALUATION, tools.descartes.librede.approach.ResponseTimeRegressionApproach, [[0.0; 0.0; 0.0]], 1.7976931348623157E308, 
1565350241534, 98, EVALUATION, tools.descartes.librede.approach.UtilizationRegressionApproach, [[0.0; 0.0; 0.0]], 1.0, 
1565350241542, 83, EVALUATION, tools.descartes.librede.approach.ResponseTimeRegressionApproach, [[0.0; 0.0; 0.0]], 1.0, 
1565350241570, 95, EVALUATION, tools.descartes.librede.approach.KumarKalmanFilterApproach, [[0.009031146099836905; 0.023823340340048075; 0.008926465972110827]], 0.3161049087952823, 
1565350241573, 70, EVALUATION, tools.descartes.librede.approach.WangKalmanFilterApproach, [[0.012825982992295887; 0.013092759182641404; 0.01225686045289212]], 0.8713271555322112, 
1565350311662, 36, ESTIMATION, -,[[0.00806423175541171; 0.028876092217007036; 0.005778263845905719]], 0.3016533829747527, 
1565350311667, 36, EVALUATION, tools.descartes.librede.approach.ResponseTimeApproximationApproach, [[0.012556290451529215; 0.04530868966479963; 0.008871506403554259]], 4.825999776507194, 
1565350311670, 36, EVALUATION, tools.descartes.librede.approach.ServiceDemandLawApproach, [[0.00806423175541171; 0.028876092217007036; 0.005778263845905719]], 0.3016533829747527, 
1565350311685, 15, EVALUATION, tools.descartes.librede.approach.WangKalmanFilterApproach, [[0.013992202164613804; 0.01527064054373936; 0.013004864621703012]], 1.2350823364697745, 
